TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-09-12 10:30:00,214078,4943,123667,51.134,16.8842
04,kujawsko-pomorskie,2021-09-12 10:30:00,181151,4800,89585,53.1648,18.4834
06,lubelskie,2021-09-12 10:30:00,127947,4493,59635,51.2494,23.1011
08,lubuskie,2021-09-12 10:30:00,74262,2060,42439,52.2275,15.2559
10,łódzkie,2021-09-12 10:30:00,180938,5147,93389,51.4635,19.1727
12,małopolskie,2021-09-12 10:30:00,224157,5876,113916,49.7225,20.2503
14,mazowieckie,2021-09-12 10:30:00,398509,9474,237323,51.8927,21.0022
16,opolskie,2021-09-12 10:30:00,70260,2056,32564,50.8004,17.938
18,podkarpackie,2021-09-12 10:30:00,127408,4472,65443,50.0575,22.0896
20,podlaskie,2021-09-12 10:30:00,70573,2152,34475,53.0697,22.9675
22,pomorskie,2021-09-12 10:30:00,193161,4498,105396,54.2944,18.1531
24,śląskie,2021-09-12 10:30:00,363624,9442,204799,50.5717,19.322
26,świętokrzyskie,2021-09-12 10:30:00,73348,2585,37672,50.6261,20.9406
28,warmińsko-mazurskie,2021-09-12 10:30:00,122320,3020,64101,53.8671,20.7028
30,wielkopolskie,2021-09-12 10:30:00,286532,7389,148563,52.28,17.3523
32,zachodniopomorskie,2021-09-12 10:30:00,130622,2943,62914,53.4658,15.1823
,nieokreślono,2021-09-12 10:30:00,54759,75,1142493,52.0693,19.4803
