TERYT,Województwo,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13
02,dolnośląskie,,,,,,,,,,,,,,,,,,,,237,558,1029,1559,2053,2424,2788,2976,3262,3626,4061,4390,4729,5066,5232,5501,5857,6367,6697,6979,7295,7407,7676,8011,8387,8686,9057,9342,9446,9622,9909,10347,10700,11014,11344,11494,11762,12142,12720,13252,13738,14256,14527,14938,15482,16417,17161,17888,18573,18929,19384,20136,21398,22421,23545,24568,25067,25787,26715,28087,29190,30693,32258,33188,34175,35892,38261,40401,42503,44510,45881,47448,49623,52546,55418,57971,60491,62550,64610,67307,70810,73796,76539,78775,79794,80715,82144,84887,87556,89914,91779,93226,94518,96385,98537,100370,101884,103043,103819,104745,106001,107568,108702,109602,110437,110812,111428,112310,113287,113987,114722,115183,115492,115752,116223,116857,117400,117854,118248,118456,118728,119120,119494,119832,120168,120407,120534,120691,120912,121144,121304,121456,121557,121621,121720,121847,121938,122029,122115,122177,122218,122280,122347,122417,122453,122479,122513,122525,122568,122609,122658,122684,122700,122719,122736,122761,122782,122802,122825,122840,122852,122858,122883,122901,122914,122921,122934,122943,122952,122964,122970,122980,122985,122993,123001,123006,123010,123016,123022,123028,123033,123045,123052,123067,123081,123089,123098,123102,123108,123114,123120,123130,123139,123145,123155,123159,123163,123172,123182,123195,123203,123218,123225,123231,123240,123250,123263,123275,123279,123289,123298,123313,123324,123342,123356,123369,123372,123394,123411,123426,123439,123458,123466,123475,123482,123500,123517,123536,123544,123558,123571,123594,123608,123633,123648,123667,123694,123723,123734,123763,123806,123843,123884,123926,123965,123978,124017,124061,124120,124166,124219,124270,124286,124319,124379,124439,124482,124535,124569,124590,124628,124714,124803,124865,124932,124976,125012,125095,125168,125246,125348,125422,125488,125540,125632,125732,125842,125954,126081,126200,126273,126436,126656,126926,127184,127438,127669,127802,128139,128514,128958,129381,129860,130275,130519,130864,131463,132278
04,kujawsko-pomorskie,,,,,,,,,,,,,,,,,,,,410,996,1822,2899,3653,4339,4915,5179,5645,6200,6959,7541,8173,8660,8909,9381,10030,10773,11237,11703,12163,12399,12855,13280,13969,14466,14925,15380,15628,15980,16520,17148,17657,18127,18548,18787,19204,19749,20542,21093,21603,22112,22366,22934,23623,24508,25156,25821,26363,26709,27377,28163,29273,30180,30981,31779,32148,32883,33853,35181,36167,37209,38224,38750,39851,41116,42968,44272,45732,46943,47651,48930,50386,52392,54218,55726,57039,57881,59186,60821,62629,63995,65213,66283,66736,67214,68239,69844,71109,72324,73302,73846,74743,75736,76831,77690,78470,79107,79493,80137,80720,81496,81986,82365,82680,82920,83330,83718,84153,84446,84738,85013,85158,85313,85560,85874,86151,86377,86582,86699,86911,87117,87340,87512,87653,87776,87847,87968,88069,88169,88252,88313,88375,88405,88460,88513,88569,88609,88643,88671,88685,88703,88726,88760,88783,88802,88819,88831,88849,88870,88885,88896,88909,88922,88928,88940,88961,88969,88982,88988,88998,89002,89009,89015,89021,89025,89026,89029,89035,89040,89051,89062,89066,89071,89074,89083,89084,89090,89095,89103,89107,89114,89118,89121,89125,89135,89138,89145,89154,89158,89166,89178,89180,89189,89193,89198,89205,89210,89214,89228,89234,89238,89247,89255,89263,89270,89279,89283,89293,89307,89314,89328,89335,89344,89353,89361,89369,89371,89381,89387,89405,89414,89430,89441,89443,89452,89456,89464,89472,89485,89495,89500,89511,89549,89571,89585,89597,89613,89625,89641,89662,89685,89695,89711,89726,89735,89751,89770,89794,89822,89837,89868,89891,89931,89954,90030,90061,90091,90121,90144,90178,90251,90291,90328,90388,90423,90454,90513,90573,90655,90738,90786,90836,90869,90923,91002,91093,91182,91288,91380,91450,91575,91779,91984,92160,92387,92550,92670,92912,93211,93503,93835,94227,94485,94689,94866,95323,95981
06,lubelskie,,,,,,,,,,,,,,,,,,,,142,534,1026,1455,1815,2178,2538,2660,2935,3285,3664,3946,4309,4581,4692,5056,5375,5749,6029,6340,6588,6678,6949,7263,7567,7829,8137,8365,8481,8702,9014,9370,9659,9915,10176,10274,10526,10876,11213,11541,11827,12153,12264,12614,13033,13485,13874,14260,14612,14738,15106,15569,16063,16481,16939,17353,17500,18020,18611,19259,19858,20437,20949,21152,21809,22669,23482,24230,24925,25643,25870,26684,27703,28706,29768,30684,31529,32002,33055,34037,35361,36391,37492,38193,38484,38792,39779,40906,41964,42972,43753,44151,45013,45964,46863,47653,48329,48869,49097,49759,50354,50978,51447,51841,52115,52259,52646,53049,53453,53767,54132,54292,54393,54525,54877,55275,55532,55759,55955,56034,56281,56513,56728,56904,57065,57208,57254,57406,57541,57651,57739,57849,57901,57931,58018,58097,58185,58239,58298,58325,58341,58385,58433,58475,58487,58525,58540,58550,58590,58621,58660,58692,58716,58730,58741,58770,58783,58795,58821,58842,58852,58854,58867,58874,58887,58900,58915,58925,58927,58933,58940,58944,58950,58957,58961,58965,58976,58985,58993,58996,59002,59007,59007,59015,59024,59031,59035,59043,59048,59058,59065,59079,59091,59099,59109,59114,59123,59131,59141,59154,59173,59186,59196,59202,59208,59220,59234,59248,59260,59271,59272,59299,59318,59337,59350,59360,59365,59367,59381,59392,59404,59413,59424,59432,59438,59444,59452,59464,59477,59492,59506,59510,59540,59564,59601,59635,59663,59684,59699,59749,59807,59874,59931,60007,60067,60110,60185,60313,60437,60531,60633,60747,60784,60903,61052,61187,61319,61461,61581,61659,61847,62083,62297,62564,62812,63036,63167,63467,63863,64289,64665,65085,65443,65607,66100,66751,67369,67999,68731,69314,69644,70644,71829,73099,74262,75664,76495,77126,78449,80013,81711,83226,84833,86007,86677,87364,89121,91369
08,lubuskie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,176,345,575,895,1130,1362,1544,1619,1745,1953,2205,2400,2562,2711,2833,2980,3157,3390,3548,3740,3912,3998,4127,4314,4586,4765,4940,5124,5206,5346,5558,5808,6038,6288,6477,6582,6816,7036,7455,7733,8001,8312,8490,8703,9024,9571,9934,10340,10728,10923,11214,11498,12176,12757,13282,13730,14036,14391,14896,15684,16321,16941,17437,17794,18209,18849,19699,20387,21121,21868,22378,22913,23644,24602,25436,26276,26885,27549,28033,28740,29706,30379,31076,31688,31992,32222,32556,33193,33858,34428,34965,35320,35659,36104,36655,37086,37439,37751,37992,38207,38473,38889,39102,39321,39528,39650,39774,39972,40145,40266,40418,40526,40582,40652,40753,40883,41033,41145,41241,41297,41350,41399,41516,41574,41667,41718,41740,41772,41819,41868,41897,41931,41952,41966,41990,42016,42041,42053,42072,42088,42098,42107,42111,42123,42133,42139,42144,42153,42166,42171,42179,42187,42194,42200,42205,42209,42209,42212,42214,42217,42219,42219,42222,42224,42225,42226,42230,42231,42232,42233,42235,42238,42240,42241,42243,42243,42243,42244,42245,42249,42251,42252,42253,42253,42254,42255,42257,42260,42261,42262,42265,42266,42267,42269,42270,42275,42276,42281,42285,42290,42292,42296,42296,42298,42299,42301,42302,42309,42313,42318,42322,42328,42330,42334,42349,42355,42360,42362,42369,42374,42380,42382,42385,42391,42392,42396,42397,42401,42407,42409,42414,42417,42421,42427,42434,42439,42447,42458,42459,42468,42480,42492,42497,42503,42518,42524,42533,42542,42558,42568,42577,42601,42608,42620,42648,42662,42673,42680,42695,42700,42713,42739,42754,42767,42783,42797,42804,42821,42853,42892,42924,42943,42975,42991,43021,43057,43083,43129,43166,43195,43221,43278,43348,43438,43516,43602,43668,43697,43791,43904,44059,44192,44359,44455,44520,44602,44791,45014
10,łódzkie,,,,,,,,,,,,,,,,,,,,229,681,1218,1869,2306,2762,3109,3243,3531,3907,4366,4681,5045,5344,5481,5754,6184,6575,6872,7197,7411,7558,7843,8218,8531,8874,9184,9414,9519,9743,10127,10561,10819,11144,11387,11480,11830,12274,12651,13105,13571,13852,14027,14462,15013,15589,16108,16741,17154,17378,17922,18756,19554,20174,20918,21530,21823,22558,23535,24608,25491,26529,27426,27966,29063,30464,31902,33096,34496,35973,36573,38117,40001,41961,43804,45512,47130,48252,49745,51621,53958,55446,57015,58464,59306,59965,61409,63444,65360,66923,68542,69239,70528,72107,73625,74825,75911,76851,77370,78214,79175,80235,80993,81671,82161,82500,83148,83845,84452,84945,85424,85692,85973,86195,86613,87142,87618,87986,88273,88441,88770,89109,89451,89700,89947,90126,90221,90401,90620,90792,90926,91056,91161,91211,91315,91423,91520,91599,91671,91732,91754,91820,91890,91932,91960,92005,92030,92042,92091,92129,92173,92205,92226,92241,92258,92289,92316,92338,92350,92363,92377,92384,92401,92418,92431,92445,92455,92472,92477,92493,92500,92507,92513,92519,92527,92545,92553,92581,92763,92769,92773,92783,92794,92811,92820,92827,92832,92837,92846,92851,92862,92871,92877,92887,92900,92905,92906,92916,92925,92934,92942,92952,92957,92964,92975,92985,92991,93001,93007,93011,93012,93017,93030,93047,93054,93062,93074,93084,93095,93113,93127,93147,93160,93166,93175,93190,93204,93227,93245,93260,93276,93284,93310,93324,93360,93389,93401,93423,93436,93472,93507,93548,93586,93608,93658,93678,93723,93782,93817,93865,93920,93954,93977,94059,94132,94180,94228,94267,94296,94320,94381,94456,94525,94590,94646,94707,94736,94821,94938,95044,95139,95223,95297,95350,95452,95576,95741,95903,96057,96180,96262,96494,96756,96985,97278,97563,97744,97880,98244,98679,99199,99698,100239,100672,100982,101365,102037,102998
12,małopolskie,,,,,,,,,,,,,,,,,,,,201,459,843,1203,1536,1825,2055,2167,2415,2690,3013,3266,3536,3736,3848,4035,4364,4637,4873,5114,5340,5493,5724,6051,6355,6615,6888,7111,7207,7418,7763,8133,8399,8741,8962,9087,9371,9862,10280,10755,11264,11632,11856,12197,12881,13577,14202,14877,15538,15898,16448,17591,18626,19597,20674,21624,22222,22974,24391,25977,27284,28670,30129,30869,31901,33923,36282,38093,40186,42107,43358,44898,47558,50360,53125,55868,58203,59929,61599,64368,67653,70125,72310,74206,75227,76101,77366,80414,82553,84614,86411,87518,88699,90574,92463,93924,95154,96381,97099,97844,99103,100306,101179,101951,102594,102991,103437,104175,104846,105383,105897,106390,106629,106886,107194,107704,108085,108413,108777,108916,109139,109463,109777,110023,110260,110422,110531,110680,110856,111049,111193,111320,111424,111476,111551,111649,111718,111786,111836,111892,111911,111964,112029,112071,112095,112124,112153,112181,112215,112259,112290,112318,112334,112344,112363,112376,112398,112419,112437,112450,112459,112469,112479,112500,112508,112517,112526,112535,112544,112552,112559,112567,112580,112588,112590,112593,112599,112607,112616,112620,112627,112634,112644,112651,112661,112667,112675,112689,112705,112718,112734,112748,112771,112795,112809,112821,112838,112865,112893,112921,112943,112978,112987,113007,113046,113086,113130,113150,113181,113200,113207,113234,113257,113284,113305,113325,113349,113359,113390,113413,113445,113475,113509,113530,113547,113577,113607,113642,113661,113689,113723,113740,113783,113835,113883,113916,113965,114007,114023,114054,114101,114151,114204,114246,114297,114323,114368,114453,114511,114559,114616,114657,114693,114752,114827,114924,114977,115054,115107,115139,115223,115301,115406,115500,115571,115645,115713,115804,115914,116023,116116,116215,116314,116372,116467,116612,116754,116912,117090,117228,117294,117493,117731,117970,118209,118527,118732,118888,119188,119591,119923,120314,120808,121194,121500,121767,122334,123289
14,mazowieckie,,,,,,,,,,,,,,,,,,,,688,1539,2656,3908,4983,6052,6948,7463,8143,9002,10006,10837,11787,12607,13012,13708,14687,15769,16663,17644,18392,18921,19627,20727,21752,22690,23649,24498,24913,25575,26732,27940,29021,29984,30990,31606,32484,33921,35566,37091,38525,39863,40601,41913,43863,45802,48106,50136,52205,53282,54905,57676,60438,63081,65821,68616,69847,71785,74361,77263,80031,83654,87254,89359,92349,96495,101369,105218,109531,113780,116899,120473,125354,130637,135935,141073,145421,148557,152696,157743,162670,166958,170974,174417,175989,177462,180192,184657,187818,191086,194091,195868,198157,201187,204038,206093,208214,209958,211095,212578,214217,215829,217168,218413,219330,219988,220849,222004,223032,223876,224663,225293,225614,225930,226597,227410,228088,228750,229242,229534,230009,230564,231014,231403,231767,232044,232193,232458,232748,233018,233245,233450,233595,233700,233868,234031,234171,234292,234426,234503,234559,234626,234724,234803,234859,234919,234958,234989,235050,235105,235155,235202,235240,235282,235311,235349,235380,235402,235437,235467,235478,235493,235518,235544,235558,235579,235593,235601,235616,235633,235646,235659,235675,235693,235700,235711,235729,235741,235757,235770,235783,235804,235816,235826,235841,235864,235880,235901,235917,235938,235952,235972,235989,236014,236031,236052,236071,236091,236109,236126,236151,236166,236182,236194,236210,236240,236275,236304,236323,236338,236350,236377,236418,236457,236486,236517,236548,236570,236606,236645,236675,236705,236735,236767,236790,236835,236872,236922,236970,237020,237068,237103,237148,237227,237271,237323,237373,237423,237444,237505,237559,237633,237732,237789,237862,237903,238006,238119,238203,238292,238429,238511,238595,238713,238867,239028,239148,239282,239438,239521,239708,239904,240136,240342,240598,240837,240967,241192,241528,241941,242305,242646,242972,243201,243535,244022,244590,245125,245663,246159,246533,247285,248268,249331,250343,251651,252644,253412,254642,256369,258157,260039,262110,263874,265024,266311,268462,271650
16,opolskie,,,,,,,,,,,,,,,,,,,,112,257,442,673,900,1052,1214,1291,1400,1553,1718,1828,1930,2031,2089,2169,2286,2431,2565,2681,2795,2841,2927,3041,3163,3252,3353,3448,3492,3552,3627,3784,3894,3983,4070,4122,4187,4285,4439,4553,4675,4817,4870,4958,5083,5275,5436,5555,5706,5792,5909,6088,6371,6601,6765,6990,7112,7232,7509,7825,8106,8362,8749,8957,9224,9554,10201,10683,11121,11703,11925,12344,12897,13516,14130,14730,15295,15803,16201,16749,17663,18299,18905,19534,19813,20060,20326,20999,21714,22339,22972,23281,23529,24037,24789,25203,25597,26017,26220,26445,26819,27266,27604,27874,28125,28257,28446,28639,28966,29215,29393,29610,29698,29788,29932,30120,30310,30462,30574,30651,30739,30861,31060,31152,31263,31349,31395,31455,31525,31602,31654,31710,31768,31788,31824,31868,31906,31941,31971,32007,32022,32039,32069,32109,32128,32150,32167,32174,32193,32202,32214,32221,32227,32233,32238,32246,32257,32269,32277,32284,32289,32290,32296,32298,32301,32305,32307,32308,32310,32312,32313,32317,32318,32322,32327,32328,32328,32332,32334,32337,32337,32341,32341,32342,32345,32346,32348,32353,32353,32353,32354,32355,32357,32357,32358,32362,32362,32363,32368,32374,32377,32380,32382,32384,32386,32390,32397,32401,32410,32413,32415,32418,32424,32428,32431,32436,32445,32448,32449,32456,32465,32470,32475,32491,32494,32499,32505,32512,32518,32523,32529,32530,32535,32547,32556,32564,32572,32582,32584,32594,32603,32619,32629,32636,32655,32661,32670,32682,32697,32711,32729,32742,32749,32756,32771,32792,32803,32810,32817,32824,32834,32849,32870,32886,32900,32914,32921,32939,32955,32983,33004,33022,33047,33057,33080,33119,33150,33187,33227,33259,33279,33326,33376,33462,33543,33627,33705,33748,33850,33961,34106,34230,34379,34526,34574,34648,34810,35003
18,podkarpackie,,,,,,,,,,,,,,,,,,,,116,252,491,735,970,1164,1404,1483,1648,1814,2053,2192,2410,2579,2649,2811,3017,3257,3436,3606,3796,3878,4063,4269,4513,4700,4921,5165,5290,5469,5826,6136,6464,6690,6933,7122,7397,7861,8340,8788,9243,9644,9839,10265,10925,11637,12225,13035,13545,13906,14415,15193,16253,17104,17795,18579,19066,19608,20406,21559,22611,23575,24438,25056,25867,27368,28736,29920,31351,32593,33258,34092,35603,37274,38837,40287,41466,42194,43266,44547,45966,47356,48593,49396,49844,50238,50956,52076,53161,54262,54950,55561,56135,56987,57912,58375,58924,59303,59546,59907,60348,60866,61147,61433,61626,61765,61985,62214,62425,62628,62797,62891,62961,63010,63166,63311,63419,63564,63643,63693,63793,63900,63977,64049,64097,64163,64193,64239,64293,64347,64395,64431,64454,64469,64501,64526,64548,64575,64593,64606,64616,64631,64646,64656,64673,64689,64700,64707,64718,64727,64738,64749,64753,64758,64764,64773,64780,64783,64784,64793,64796,64801,64810,64816,64820,64824,64829,64835,64836,64838,64840,64846,64848,64855,64858,64860,64861,64863,64866,64866,64867,64870,64874,64877,64883,64886,64890,64894,64899,64901,64907,64910,64914,64916,64921,64923,64924,64930,64940,64952,64958,64971,64985,64991,65000,65009,65021,65029,65036,65041,65046,65060,65072,65085,65090,65107,65122,65127,65143,65160,65177,65188,65200,65211,65226,65242,65270,65281,65305,65318,65331,65342,65363,65395,65412,65443,65461,65484,65495,65528,65561,65599,65633,65670,65697,65710,65742,65805,65861,65918,65963,66013,66037,66066,66118,66175,66233,66305,66362,66384,66450,66515,66590,66650,66719,66789,66829,66898,67008,67131,67219,67308,67389,67428,67502,67632,67774,67884,67993,68158,68225,68388,68689,68977,69263,69592,69826,70019,70290,70745,71076,71437,71857,72207,72445,72666,73170,73914
20,podlaskie,,,,,,,,,,,,,,,,,,,,83,238,535,860,1120,1350,1503,1604,1721,2019,2286,2495,2698,2900,3020,3166,3453,3719,3935,4171,4370,4449,4623,4861,5200,5404,5623,5789,5863,6084,6370,6650,6880,7156,7311,7382,7615,7947,8240,8509,8819,9038,9132,9355,9785,10224,10539,10839,11066,11183,11483,11903,12377,12742,13180,13474,13586,13884,14403,14844,15318,15716,16028,16242,16547,17115,17666,18120,18578,19006,19165,19566,20190,20812,21286,21844,22225,22473,22836,23481,24023,24413,24896,25256,25411,25540,25786,26374,26911,27391,27768,27946,28237,28755,29155,29473,29815,30066,30216,30377,30633,30881,31081,31228,31319,31390,31505,31663,31828,31944,32023,32107,32141,32177,32277,32394,32508,32612,32667,32717,32769,32890,32990,33054,33136,33196,33228,33272,33365,33425,33462,33500,33533,33551,33586,33621,33643,33677,33704,33718,33734,33751,33776,33792,33804,33811,33817,33826,33835,33842,33858,33866,33875,33883,33884,33890,33895,33905,33908,33915,33922,33926,33930,33933,33940,33942,33944,33944,33947,33952,33959,33960,33962,33964,33965,33968,33978,33985,33991,33991,33994,33996,34000,34004,34007,34014,34025,34028,34031,34035,34040,34047,34050,34052,34054,34060,34068,34073,34080,34087,34093,34098,34100,34105,34112,34124,34134,34143,34155,34166,34171,34204,34210,34217,34219,34224,34230,34243,34263,34271,34278,34283,34296,34312,34316,34325,34339,34354,34366,34376,34385,34397,34413,34443,34454,34475,34486,34503,34512,34535,34566,34588,34609,34631,34656,34669,34698,34739,34774,34824,34861,34890,34910,34958,35010,35058,35121,35175,35218,35251,35317,35404,35492,35581,35679,35756,35826,35945,36224,36406,36609,36819,36959,37039,37279,37549,37885,38169,38477,38729,38887,39245,39799,40370,40924,41511,41930,42208,42810,43665,44450,45170,45849,46468,46820,47172,47838,49005
