TERYT,Województwo,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07
02,dolnośląskie,647,344,246,115,481,599,627,461,514,459,227,339,452,463,477,378,302,156,311,336,567,366,414,251,179,312,343,527,386,338,303,202,236,392,388,313,329,244,111,206,271,396,399,404,265,167,258,432,544,554,547,420,254,348,642,854,849,799,662,352,434,782,1174,1093,1233,909,449,681,1047,1502,1407,1687,1263,939,936,1672,2371,2144,2226,1693,1215,1307,2328,2680,2876,2709,2207,1887,2110,2826,3309,3074,2695,2320,986,591,1434
04,kujawsko-pomorskie,967,471,673,484,913,1300,1078,1034,886,923,388,526,910,993,712,653,658,201,438,534,729,613,644,447,218,452,634,718,500,482,394,219,449,432,719,557,466,381,227,339,568,567,512,518,403,197,384,582,762,601,535,459,217,453,741,859,743,708,480,336,530,949,1049,983,833,696,299,728,946,1314,993,1225,843,596,972,1275,1734,1567,1489,1155,704,863,1273,2254,1940,1503,1537,642,1181,1659,1791,1595,1126,1102,376,368,776
06,lubelskie,388,280,207,142,447,658,331,403,512,381,138,344,493,403,355,358,318,86,266,357,323,311,378,234,78,336,358,354,264,318,227,69,256,324,294,264,320,201,110,200,322,320,316,265,224,61,254,359,326,328,313,290,101,328,451,432,406,408,326,97,371,500,477,450,429,406,122,512,616,601,618,667,438,139,628,840,874,834,728,633,181,737,977,970,1073,1025,860,373,1010,987,1314,1135,1112,635,237,239,911
08,lubuskie,343,113,169,96,93,368,379,233,293,261,190,89,243,288,218,178,247,99,85,201,217,208,166,145,134,93,174,226,171,178,170,91,84,196,241,183,180,197,88,73,258,227,221,234,215,77,158,245,384,299,267,294,204,145,345,441,461,383,455,117,177,387,490,585,642,476,308,240,413,632,751,653,517,396,288,698,672,747,773,701,495,428,749,936,874,840,636,589,397,733,815,759,693,661,267,205,251
10,łódzkie,704,604,292,287,487,1058,627,546,702,573,218,285,567,554,495,416,351,98,275,393,410,351,348,283,118,256,392,391,309,335,203,113,238,393,283,353,319,200,84,179,374,416,249,311,231,74,355,478,311,495,447,264,138,401,639,511,512,710,368,186,444,960,793,700,737,577,235,621,1022,1068,868,1185,782,460,1064,1466,1349,1360,1419,1110,862,1112,1934,2109,1872,1694,1580,929,1290,1832,2121,1879,1548,1378,837,497,1093
12,małopolskie,388,281,200,194,233,625,453,352,418,260,233,236,383,337,321,293,225,306,234,280,315,270,250,219,115,159,359,290,250,265,204,182,244,355,272,266,293,226,83,191,340,364,251,356,212,115,224,515,427,548,493,380,234,293,718,752,660,629,738,282,521,1272,953,1015,1062,997,499,583,1497,1607,1336,1686,1379,699,1044,2050,2192,1914,2138,1715,1207,1211,2608,2919,2826,2725,2404,1525,1655,2766,3067,2628,2295,1693,922,663,1221
14,mazowieckie,1453,1046,903,746,824,1686,1469,1216,1333,1305,627,695,1069,1231,946,1040,816,475,683,890,874,856,936,687,371,570,934,1046,972,950,765,440,586,1129,960,961,986,744,438,602,1074,1087,1010,1090,1001,473,824,1400,1633,1427,1393,1339,699,1028,1961,1984,2098,2272,2069,1051,1279,2750,2563,2910,2504,2807,1289,1772,2596,3756,3073,3891,3430,2311,2347,4142,4408,4219,4166,3852,2899,3105,4308,5104,5264,5205,4652,2834,3572,4813,4806,4464,4115,3564,916,1792,2157
16,opolskie,179,182,100,84,93,222,326,96,195,181,127,116,172,235,214,222,99,125,95,138,143,113,95,104,45,78,105,153,145,100,124,44,55,124,138,96,102,82,40,62,68,152,85,119,102,40,49,89,160,122,133,137,52,73,108,212,157,120,139,84,90,208,266,227,198,240,122,123,250,287,360,347,294,265,168,357,637,564,472,500,240,316,484,642,694,653,668,448,325,641,807,711,611,647,237,209,256
18,podkarpackie,261,217,118,116,270,654,570,490,291,214,159,108,235,233,232,194,177,83,188,192,216,175,159,191,61,136,182,270,222,150,136,116,152,230,265,206,205,191,155,158,290,357,328,296,208,211,279,396,487,464,461,278,363,253,656,779,680,684,532,335,493,687,941,1008,811,718,431,471,976,1255,1023,889,1064,567,785,1319,1449,1334,1398,1211,669,721,1451,1498,1716,1480,1333,614,919,1286,1470,1284,1252,880,495,334,482
20,podlaskie,307,173,171,80,189,477,272,293,298,239,75,143,333,291,277,210,121,69,126,329,226,229,218,161,95,145,317,209,254,251,187,82,150,237,298,219,217,133,90,200,295,252,266,292,146,59,198,361,265,271,315,215,79,193,449,403,353,327,216,104,307,461,438,405,448,253,86,303,518,450,471,428,276,192,304,621,486,473,522,351,167,355,689,577,529,559,356,181,349,672,508,447,438,356,127,92,277
22,pomorskie,1027,787,705,623,534,1148,1003,987,977,1010,509,583,729,878,740,741,603,468,411,582,740,770,513,461,357,361,636,659,556,523,449,243,326,647,564,507,601,554,332,403,540,702,581,576,651,344,404,683,807,787,779,727,545,515,1113,1112,1050,1050,943,643,600,1399,1337,1318,1303,1098,715,613,1207,1704,1526,1494,1318,1100,1030,1685,1758,1604,1842,1213,1231,871,1935,1994,2625,1986,1874,1007,989,1433,1873,1335,2018,1273,550,573,730
24,śląskie,885,431,288,282,740,1391,855,548,836,676,233,522,818,727,601,608,408,311,368,649,489,488,529,352,147,342,623,557,427,493,329,131,343,702,523,542,485,393,145,369,688,621,523,549,502,146,342,872,725,829,818,662,306,461,1529,1173,1018,1272,997,373,746,1989,1620,1873,1536,1596,520,1061,2452,2597,2302,2682,2331,1247,1716,4030,3788,3728,3600,3649,1859,2023,4605,5430,5095,5044,4647,2694,2812,6092,5997,4713,4506,3839,1734,1228,1863
26,świętokrzyskie,192,98,77,59,88,218,181,89,154,151,97,108,131,164,127,120,125,73,77,125,147,125,90,81,40,86,97,114,93,82,82,63,95,95,91,149,162,125,95,62,131,119,131,129,98,59,73,150,201,142,159,131,85,119,236,319,201,269,157,180,152,274,381,318,268,263,128,240,338,567,409,476,303,266,373,535,707,576,736,461,429,553,691,1024,822,939,718,585,551,812,900,864,860,502,376,209,485
