TERYT,Województwo,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15
02,dolnośląskie,88823,89167,89413,89528,90009,90608,91235,91696,92210,92669,92896,93235,93687,94150,94627,95005,95307,95463,95774,96110,96677,97043,97457,97708,97887,98199,98542,99069,99455,99793,100096,100298,100534,100926,101314,101627,101956,102200,102311,102517,102788,103184,103583,103987,104252,104419,104677,105109,105653,106207,106754,107174,107428,107776,108418,109272,110121,110920,111582,111934,112368,113150,114324,115417,116650,117559,118008,118689,119736,121238,122645,124332,125595,126534,127470,129142,131513,133657,135883,137576,138791,140098,142426,145106,147982,150691,152898,154785,156895,159721,163030,166104,168799,171119,172105,172696,174130,176429,179301,181760,183582,184796,186072,187782,190059,191807,193331,194350,195097,195961,197174,198550,199729,200645,201431,201761,202308,203167,204101,204715,205470,205947,206170,206352,206754,207397,207969,208472,208796,208996,209264,209628,210006,210313,210601,210837,210950,211099,211323,211529,211692,211849,211923,211976,212065,212187,212285,212369,212440,212493,212526,212574,212639,212705,212728,212767,212789,212799,212832,212876,212912,212941,212964,212984,212992,213006,213023,213047,213064,213074,213078,213083,213109,213122,213136,213143,213154,213156,213159,213179,213184,213193,213198,213205,213213,213217,213226,213230,213233,213241,213246,213257,213258,213270,213275,213282,213289,213300,213302,213305,213315,213330,213339,213342,213351,213355,213359,213370,213376,213384,213391,213404,213408,213416,213422,213429,213448,213457,213466,213467,213470,213480,213491,213508,213523,213537,213539,213554,213569,213582,213595,213608,213617,213627,213630,213647,213659,213682,213691,213706,213716,213724,213733,213755,213774,213790,213824,213841,213849,213883,213933,213970,214004,214048,214078,214096,214134,214171,214235,214283,214326,214365,214375,214409,214458,214521,214577,214624,214653,214670,214712,214785,214866,214938,215006,215050,215082,215147,215235,215315,215400,215488,215543,215577,215671,215778,215885,215981,216115,216225,216272,216425,216629,216898,217167,217453,217683,217805,218103,218520,218901,219317,219829,220192,220467,220712,221326,222192,223008,223861,224570,225041,225745,226953,228024,228852,229657,230460,231120,232205,233917,235422,237149,238870,240181,241112,242426,244604,246691,248964,250834,252881,253955,255413,257572,259917,262313,264383,266631,268039,269766,272266,274844,277105,279284,281065,282253,283577,285626
04,kujawsko-pomorskie,85593,86064,86737,87221,88134,89434,90512,91546,92060,92983,93371,93897,94807,95800,96512,97165,97823,98024,98462,98996,99725,100338,100982,101429,101647,102099,102733,103451,103951,104433,104827,105046,105495,105927,106646,107203,107669,108050,108277,108616,109184,109751,110263,110781,111184,111381,111765,112347,113109,113710,114245,114704,114921,115374,116115,116974,117717,118425,118905,119241,119771,120720,121769,122752,123585,124281,124580,125308,126254,127568,128561,129786,130629,131225,132197,133472,135206,136773,138262,139417,140121,140984,142257,144511,146451,147954,149491,150133,151314,152973,154764,156359,157485,158587,158963,159331,160107,161695,163137,164326,165439,165963,166721,167710,168795,169687,170467,171090,171432,171977,172640,173335,173804,174247,174563,174746,175118,175529,175954,176256,176528,176776,176906,177037,177253,177574,177882,178088,178282,178378,178586,178824,179026,179195,179339,179447,179506,179605,179709,179795,179876,179944,179997,180024,180075,180128,180183,180222,180249,180271,180280,180298,180325,180353,180368,180395,180407,180418,180432,180448,180462,180475,180490,180498,180504,180512,180533,180543,180557,180559,180570,180574,180577,180582,180588,180588,180589,180593,180595,180601,180606,180614,180619,180623,180626,180628,180629,180642,180643,180653,180657,180661,180663,180665,180665,180675,180678,180683,180683,180684,180690,180695,180696,180700,180704,180709,180712,180713,180716,180725,180729,180736,180741,180744,180751,180761,180769,180776,180783,180787,180789,180805,180808,180814,180824,180833,180839,180843,180852,180858,180865,180878,180895,180899,180901,180909,180919,180928,180938,180946,180953,180956,180962,180977,180994,181009,181014,181030,181039,181052,181073,181097,181113,181133,181151,181170,181184,181206,181227,181248,181268,181290,181292,181335,181351,181395,181428,181464,181483,181496,181519,181557,181595,181632,181695,181730,181752,181795,181853,181919,181996,182052,182087,182114,182175,182242,182332,182429,182538,182610,182677,182803,183006,183223,183409,183647,183803,183903,184145,184418,184731,185088,185477,185685,185868,186013,186491,187155,187747,188460,188859,189112,189882,190587,191521,192028,192852,193344,193759,194765,195738,197098,198380,199764,200552,201127,202292,203672,205208,206663,208026,208973,209735,210873,212234,213960,215278,216768,217896,218422,219715,221122,222652,224045,225171,226146,226641,227853,228937
06,lubelskie,66024,66304,66511,66653,67100,67758,68089,68492,69004,69385,69523,69867,70360,70763,71118,71476,71794,71880,72146,72503,72826,73137,73515,73749,73827,74163,74521,74875,75139,75457,75684,75753,76009,76333,76627,76891,77211,77412,77522,77722,78044,78364,78680,78945,79169,79230,79484,79843,80169,80497,80810,81100,81201,81529,81980,82412,82818,83226,83552,83649,84020,84520,84997,85447,85876,86282,86404,86916,87532,88133,88751,89418,89856,89995,90623,91463,92337,93171,93899,94532,94713,95450,96427,97397,98470,99495,100355,100728,101738,102725,104039,105174,106286,106921,107158,107397,108308,109393,110458,111630,112291,112648,113465,114468,115360,116135,116859,117336,117502,118089,118693,119248,119723,120147,120425,120512,120849,121228,121639,121981,122334,122488,122576,122683,122981,123335,123652,123878,124055,124132,124358,124598,124780,124976,125137,125269,125306,125433,125569,125671,125755,125857,125907,125932,126002,126072,126172,126225,126277,126302,126315,126358,126407,126449,126461,126494,126509,126519,126548,126580,126619,126649,126668,126683,126691,126716,126732,126744,126769,126792,126803,126812,126828,126834,126844,126857,126869,126878,126879,126885,126892,126895,126901,126907,126909,126910,126915,126925,126928,126931,126936,126940,126940,126949,126956,126961,126965,126972,126979,126981,126992,127005,127017,127020,127033,127038,127040,127044,127054,127068,127088,127097,127104,127113,127118,127130,127145,127150,127164,127174,127178,127202,127218,127237,127249,127260,127267,127269,127285,127298,127311,127320,127330,127334,127337,127346,127356,127363,127376,127392,127401,127406,127434,127453,127493,127522,127555,127576,127585,127626,127687,127762,127831,127899,127947,127984,128059,128203,128323,128409,128531,128632,128674,128783,128935,129080,129212,129355,129477,129536,129734,129954,130195,130469,130723,130919,131037,131331,131730,132189,132557,133010,133332,133489,133982,134602,135273,135881,136654,137227,137517,138515,139764,140985,142166,143612,144517,145028,146318,147950,149435,151140,152789,153841,154499,155096,156857,158967,161044,162827,164115,164845,166450,168363,170486,171263,172807,174032,174636,176466,178404,180299,181807,183244,184179,184700,186277,187780,189360,190568,191777,192540,192923,194034,195298,196223,197245,198278,198783,199068,199870,200770,201532,202200,202981,203426,203667,204406,205099
08,lubuskie,31460,31573,31742,31838,31931,32299,32678,32911,33204,33465,33655,33744,33987,34275,34493,34671,34918,35017,35102,35303,35520,35728,35894,36039,36173,36266,36440,36666,36837,37015,37185,37276,37360,37556,37797,37980,38160,38357,38445,38518,38776,39003,39224,39458,39673,39750,39908,40153,40537,40836,41103,41397,41601,41746,42091,42532,42993,43376,43831,43948,44125,44512,45002,45587,46229,46705,47013,47253,47666,48298,49049,49702,50219,50615,50903,51601,52273,53020,53793,54494,54989,55417,56166,57102,57976,58816,59452,60041,60438,61171,61986,62745,63438,64099,64366,64571,64822,65380,66096,66673,67187,67482,67777,68215,68720,69161,69486,69794,69992,70166,70447,70798,71049,71275,71481,71568,71682,71885,72056,72181,72324,72432,72467,72520,72591,72712,72887,72997,73094,73140,73200,73251,73349,73416,73501,73559,73578,73607,73645,73684,73719,73748,73765,73774,73796,73818,73853,73867,73883,73894,73903,73915,73918,73928,73932,73938,73941,73947,73961,73969,73981,73985,73991,73996,73998,74002,74003,74008,74009,74011,74013,74013,74015,74016,74018,74019,74019,74019,74021,74021,74022,74025,74027,74028,74028,74028,74030,74033,74034,74035,74038,74039,74040,74040,74040,74040,74041,74043,74044,74046,74048,74048,74048,74048,74053,74055,74056,74060,74064,74069,74072,74074,74074,74075,74076,74077,74078,74083,74088,74090,74092,74096,74098,74102,74112,74115,74119,74124,74125,74127,74130,74132,74135,74140,74140,74144,74146,74152,74155,74160,74165,74168,74170,74175,74179,74184,74193,74203,74204,74217,74229,74240,74246,74250,74262,74265,74271,74279,74298,74308,74315,74330,74344,74357,74368,74398,74408,74413,74427,74430,74437,74457,74474,74488,74503,74521,74526,74540,74567,74594,74620,74646,74680,74692,74717,74758,74791,74826,74865,74892,74913,74965,75028,75113,75185,75280,75338,75358,75433,75531,75681,75827,75995,76097,76154,76248,76382,76617,76867,77126,77379,77459,77723,77994,78409,78650,78921,79182,79351,79628,79991,80619,81031,81639,82038,82397,82777,83283,83937,84699,85467,86130,86525,86923,87579,88326,89200,89860,90501,91037,91589,92311,93275,94100,94895,95549,95903,96365,96982
10,łódzkie,85467,86071,86363,86650,87137,88195,88822,89368,90070,90643,90861,91146,91713,92267,92762,93178,93529,93627,93902,94295,94705,95056,95404,95687,95805,96061,96453,96844,97153,97488,97691,97804,98042,98435,98718,99071,99390,99590,99674,99853,100227,100643,100892,101203,101434,101508,101863,102341,102652,103147,103594,103858,103996,104397,105036,105547,106059,106769,107137,107323,107767,108727,109520,110220,110957,111534,111769,112390,113412,114480,115348,116533,117315,117775,118839,120305,121654,123014,124433,125543,126405,127517,129451,131560,133432,135126,136706,137635,138925,140757,142878,144757,146305,147683,148520,149017,150110,152018,154157,155828,157504,158226,159299,160934,162234,163620,164715,165578,165992,166705,167756,168656,169402,170095,170591,170838,171430,172100,172661,173184,173643,173878,174118,174302,174673,175131,175659,175985,176282,176445,176741,177069,177377,177618,177860,178021,178087,178246,178442,178588,178723,178845,178940,178988,179071,179163,179269,179340,179392,179439,179463,179522,179583,179625,179649,179693,179716,179721,179758,179794,179828,179857,179879,179891,179907,179934,179957,179970,179981,179989,180002,180006,180025,180034,180046,180056,180066,180075,180077,180090,180104,180110,180111,180117,180122,180123,180133,180140,180147,180154,180159,180162,180164,180174,180184,180188,180191,180200,180206,180210,180218,180226,180231,180234,180242,180246,180247,180253,180256,180259,180263,180276,180279,180284,180296,180305,180312,180324,180330,180334,180335,180338,180350,180361,180372,180377,180384,180391,180403,180418,180431,180445,180464,180468,180473,180486,180497,180515,180531,180549,180559,180565,180593,180614,180649,180675,180690,180706,180716,180745,180784,180820,180863,180893,180938,180959,181002,181056,181094,181137,181192,181218,181246,181320,181397,181440,181487,181533,181559,181579,181644,181721,181777,181842,181901,181959,181983,182066,182178,182290,182382,182480,182543,182581,182689,182818,182985,183155,183306,183425,183495,183713,184006,184220,184533,184768,185006,185109,185460,185814,186406,186967,187586,187998,188284,188605,189242,190273,191303,192196,193098,193617,194412,195703,196967,197623,198605,199348,199935,200936,202479,203863,205262,206548,207509,208219,209370,211256,212857,214197,215797,217004,217695,218796,220478,222144,223605,225022,226262,226984,228355,230034,231662,233009,234320,235430,236132,237365,238773
12,małopolskie,108883,109164,109364,109558,109791,110416,110869,111221,111639,111899,112132,112368,112751,113088,113409,113702,113927,114233,114467,114747,115062,115332,115582,115801,115916,116075,116434,116724,116974,117239,117443,117625,117869,118224,118496,118762,119055,119281,119364,119555,119895,120259,120510,120866,121078,121193,121417,121932,122359,122907,123400,123780,124014,124307,125025,125777,126437,127066,127804,128086,128607,129879,130832,131847,132909,133906,134405,134988,136485,138092,139428,141114,142493,143192,144236,146286,148478,150392,152530,154245,155452,156663,159271,162190,165016,167741,170145,171670,173325,176091,179158,181786,184081,185774,186696,187359,188580,191393,193612,195747,197617,198696,199776,201662,203409,204849,206172,207247,207918,208548,209838,210913,211821,212611,213213,213539,213942,214713,215333,215884,216384,216862,217082,217295,217580,218061,218443,218810,219124,219259,219459,219767,220036,220280,220518,220665,220756,220890,221072,221243,221373,221503,221594,221641,221705,221805,221890,221956,222004,222050,222069,222121,222170,222215,222235,222262,222290,222311,222342,222378,222409,222435,222450,222463,222472,222484,222503,222518,222540,222551,222558,222564,222575,222591,222598,222607,222615,222619,222625,222633,222637,222645,222652,222660,222663,222666,222670,222676,222683,222687,222693,222696,222703,222707,222714,222717,222721,222735,222743,222752,222768,222779,222802,222816,222828,222839,222847,222867,222887,222911,222934,222956,222966,222977,223012,223039,223075,223097,223123,223144,223153,223179,223196,223220,223242,223261,223283,223287,223308,223331,223356,223386,223418,223434,223444,223468,223503,223526,223549,223581,223611,223629,223666,223703,223761,223802,223845,223888,223903,223929,223976,224020,224065,224106,224157,224178,224230,224302,224356,224412,224469,224503,224542,224595,224652,224748,224804,224876,224916,224943,225018,225100,225197,225291,225362,225431,225485,225567,225689,225790,225889,225989,226085,226138,226237,226379,226515,226653,226870,226971,227034,227217,227477,227672,227957,228273,228474,228614,228904,229281,229627,229998,230500,230869,231141,231404,231993,232918,233829,234683,235503,235997,237008,238132,239140,240129,240970,242142,242712,244015,245553,247087,248870,250505,252085,253143,254729,256905,259237,261286,263429,265165,266301,267827,270397,272724,274960,277215,279125,280415,281859,284364,286790,289142,291355,293146,294068,295652,297832
14,mazowieckie,157930,158976,159879,160625,161449,163135,164604,165820,167153,168458,169085,169780,170849,172080,173026,174066,174882,175357,176040,176930,177804,178660,179596,180283,180654,181224,182158,183204,184176,185126,185891,186331,186917,188046,189006,189967,190953,191697,192135,192737,193811,194898,195908,196998,197999,198472,199296,200696,202329,203756,205149,206488,207187,208215,210176,212160,214258,216530,218599,219650,220929,223679,226242,229152,231656,234463,235752,237524,240120,243876,246949,250840,254270,256581,258928,263070,267478,271697,275863,279715,282614,285719,290027,295131,300395,305600,310252,313086,316658,321471,326277,330741,334856,338420,339336,341128,343285,347195,350871,354106,357250,359059,360825,363750,366305,368650,370649,372464,373564,374812,376427,377824,379169,380406,381399,381905,382605,383692,384717,385520,386302,386898,387264,387542,388004,388797,389494,390077,390606,390926,391315,391818,392282,392682,393063,393333,393478,393682,393956,394192,394413,394600,394742,394825,394963,395111,395263,395376,395482,395560,395614,395670,395757,395815,395872,395921,395957,395984,396040,396098,396139,396193,396233,396270,396299,396329,396354,396384,396411,396435,396450,396456,396478,396507,396521,396529,396539,396548,396558,396567,396583,396593,396611,396631,396640,396646,396661,396669,396686,396697,396710,396722,396726,396734,396741,396759,396773,396789,396807,396818,396829,396851,396866,396882,396899,396911,396927,396938,396956,396971,396987,397005,397021,397030,397052,397081,397102,397137,397160,397174,397181,397205,397230,397266,397292,397316,397337,397357,397384,397421,397450,397481,397508,397540,397551,397596,397620,397657,397708,397759,397792,397821,397866,397913,397960,398008,398048,398102,398124,398178,398241,398295,398386,398446,398509,398544,398631,398737,398830,398916,399051,399134,399198,399305,399451,399607,399725,399883,400014,400096,400246,400440,400646,400876,401118,401345,401494,401691,402037,402413,402809,403132,403449,403664,403990,404447,404986,405488,406056,406551,406893,407624,408628,409676,410746,412000,413025,413761,414891,416578,418251,420288,422297,424065,425219,426312,428348,431554,434930,438400,441246,443124,445947,449819,453846,456928,459892,463399,465873,469086,474170,479279,483485,488321,492001,494639,498395,503672,508558,512921,517651,520945,523694,526879,531685,535733,539464,543734,547203,549319,552109,556144,560113,563643,566982,569634,571510,573989,577560
16,opolskie,36693,36875,36975,37059,37152,37374,37700,37796,37991,38172,38299,38415,38587,38822,39036,39258,39357,39482,39577,39715,39858,39971,40066,40170,40215,40293,40398,40551,40696,40796,40920,40964,41019,41143,41281,41377,41479,41561,41601,41663,41731,41883,41968,42087,42189,42229,42278,42367,42527,42649,42782,42919,42971,43044,43152,43364,43521,43641,43780,43864,43954,44162,44428,44655,44853,45093,45215,45338,45588,45875,46235,46582,46876,47141,47309,47666,48303,48867,49339,49839,50079,50395,50879,51521,52215,52868,53536,53984,54309,54950,55757,56468,57079,57726,57963,58172,58428,58998,59715,60449,61081,61374,61588,62087,62725,63185,63536,63943,64137,64345,64703,65063,65356,65697,65965,66064,66216,66429,66749,67020,67189,67400,67462,67538,67642,67826,68031,68196,68312,68385,68470,68595,68771,68869,68986,69053,69098,69139,69216,69289,69345,69394,69448,69463,69490,69525,69572,69606,69638,69675,69690,69708,69733,69764,69782,69796,69815,69826,69838,69851,69860,69865,69871,69879,69884,69884,69896,69901,69913,69919,69922,69925,69926,69928,69932,69937,69940,69941,69941,69943,69946,69948,69951,69952,69956,69956,69957,69960,69963,69965,69968,69971,69972,69972,69973,69977,69978,69981,69981,69982,69983,69984,69984,69984,69985,69988,69989,69994,69995,69999,70000,70003,70005,70005,70009,70012,70015,70020,70028,70029,70029,70032,70038,70042,70046,70050,70059,70063,70066,70074,70082,70085,70088,70106,70110,70113,70118,70125,70131,70139,70143,70144,70149,70161,70171,70181,70189,70196,70199,70205,70221,70233,70241,70246,70260,70266,70270,70287,70305,70315,70332,70346,70350,70358,70370,70390,70403,70411,70418,70422,70430,70444,70466,70484,70499,70515,70523,70540,70560,70584,70600,70618,70643,70653,70673,70709,70741,70779,70813,70845,70867,70918,70974,71063,71147,71234,71311,71350,71431,71550,71684,71795,71951,72098,72156,72210,72370,72571,72860,73089,73366,73466,73671,74035,74490,74806,75024,75369,75502,75812,76343,77050,77676,78271,78874,79269,79720,80519,81301,82231,82958,83736,84253,84652,85346,86308,87255,88088,88961,89463,89947,90774,91778,92648,93509,94344,94819,95277,95949
18,podkarpackie,59508,59725,59843,59959,60229,60883,61453,61943,62234,62448,62607,62715,62950,63183,63415,63609,63786,63869,64057,64249,64465,64640,64799,64990,65051,65187,65369,65639,65861,66011,66147,66263,66415,66645,66910,67116,67321,67512,67667,67825,68115,68472,68800,69096,69304,69515,69794,70190,70677,71141,71602,71880,72243,72496,73152,73931,74611,75295,75827,76162,76655,77342,78283,79291,80102,80820,81251,81722,82698,83953,84976,85865,86929,87496,88281,89600,91049,92383,93781,94992,95661,96382,97833,99331,101047,102527,103860,104474,105393,106679,108149,109433,110685,111565,112060,112394,112876,113936,115014,116102,116851,117474,117999,118817,119740,120260,120812,121230,121459,121725,122142,122628,122961,123257,123463,123582,123739,123948,124163,124380,124535,124641,124710,124776,124887,125002,125156,125275,125368,125422,125492,125597,125681,125758,125796,125861,125900,125931,125972,126025,126069,126102,126123,126133,126148,126180,126205,126232,126251,126263,126273,126285,126296,126312,126320,126339,126349,126355,126388,126392,126403,126420,126430,126447,126449,126454,126461,126468,126475,126480,126488,126492,126499,126511,126514,126519,126524,126529,126536,126536,126540,126543,126546,126551,126552,126553,126557,126557,126557,126559,126563,126566,126568,126570,126572,126580,126583,126590,126594,126596,126598,126601,126605,126607,126612,126620,126622,126626,126632,126653,126661,126668,126679,126684,126694,126703,126709,126720,126729,126737,126741,126754,126768,126782,126795,126810,126818,126825,126843,126857,126872,126884,126898,126914,126927,126942,126964,126980,127004,127020,127035,127049,127065,127093,127110,127136,127158,127183,127203,127229,127264,127309,127340,127375,127408,127426,127458,127517,127564,127624,127676,127714,127738,127769,127816,127881,127932,128017,128069,128103,128166,128233,128314,128387,128444,128530,128560,128628,128717,128847,128919,129000,129077,129108,129186,129289,129443,129575,129684,129838,129905,130065,130324,130638,130902,131198,131510,131686,131941,132369,132725,133103,133505,133868,134078,134304,134755,135446,136161,136869,137422,137749,138355,139150,140034,140670,141307,142031,142353,143055,144043,145219,146215,147302,148067,148444,149320,150378,151607,152784,153806,154662,155080,155913,156993,158053,159103,160010,160752,161117,161906,162806,163756,164589,165471,166222,166527,167219,168023
20,podlaskie,34407,34580,34751,34831,35020,35497,35769,36062,36360,36599,36674,36817,37150,37441,37718,37928,38049,38118,38244,38573,38799,39028,39246,39407,39502,39647,39964,40173,40427,40678,40865,40947,41097,41334,41632,41851,42068,42201,42291,42491,42786,43038,43304,43596,43742,43801,43999,44360,44625,44896,45211,45426,45505,45698,46147,46550,46903,47230,47446,47550,47857,48318,48756,49161,49609,49862,49948,50251,50769,51219,51690,52118,52394,52586,52890,53511,53997,54470,54992,55343,55510,55865,56554,57131,57660,58219,58575,58756,59105,59777,60285,60732,61170,61526,61653,61745,62022,62555,63111,63618,63967,64134,64398,64938,65312,65656,66005,66219,66354,66496,66756,66976,67143,67315,67410,67453,67556,67704,67868,67978,68075,68148,68182,68214,68278,68390,68518,68619,68696,68744,68787,68898,68974,69052,69122,69182,69209,69257,69343,69411,69449,69488,69516,69525,69547,69587,69619,69651,69672,69689,69700,69717,69743,69762,69774,69780,69785,69794,69798,69806,69820,69829,69834,69840,69841,69846,69853,69858,69859,69868,69873,69879,69882,69888,69898,69901,69903,69903,69903,69907,69912,69913,69914,69917,69917,69917,69926,69930,69938,69940,69943,69946,69949,69954,69957,69964,69973,69975,69975,69979,69985,69990,69995,69997,70000,70004,70009,70013,70018,70027,70033,70038,70040,70043,70050,70061,70066,70074,70085,70089,70092,70094,70099,70107,70120,70147,70152,70155,70173,70185,70192,70203,70217,70223,70227,70235,70250,70260,70268,70280,70293,70300,70316,70341,70352,70372,70384,70402,70410,70434,70464,70504,70525,70551,70573,70581,70611,70645,70676,70723,70764,70786,70800,70848,70900,70941,71007,71073,71110,71130,71182,71296,71370,71475,71566,71636,71695,71816,72084,72266,72458,72681,72813,72889,73123,73384,73697,74018,74357,74607,74746,75099,75686,76208,76788,77327,77766,78019,78591,79395,80150,80911,81605,82177,82494,82785,83493,84594,85563,86554,87191,87538,88178,89234,90142,90654,91326,91957,92290,93014,93998,94886,95700,96443,96982,97284,97906,98772,99499,100155,100794,101198,101391,101867,102539,103106,103669,104138,104446,104594,104901,105440,105840,106262,106571,106760,106872,107147,107518
