TERYT,Województwo,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15
02,dolnośląskie,36,10,,,25,44,4,13,22,4,,33,26,16,19
04,kujawsko-pomorskie,27,17,9,2,28,42,18,39,59,17,6,25,44,44,24
06,lubelskie,21,4,2,1,42,28,4,30,32,16,5,24,21,38,25
08,lubuskie,17,3,,1,13,11,4,11,7,6,5,5,13,8,26
10,łódzkie,25,4,,,21,125,29,50,29,7,2,28,43,35,37
12,małopolskie,22,,2,,23,23,2,10,13,2,1,26,35,12,16
14,mazowieckie,52,15,2,1,27,39,24,29,44,40,9,26,50,41,56
16,opolskie,15,2,,,12,15,5,9,8,,1,8,3,3,6
18,podkarpackie,36,2,6,2,18,24,7,8,11,7,3,24,13,17,17
20,podlaskie,10,11,,3,7,15,6,6,17,8,,2,26,6,7
22,pomorskie,24,,4,2,39,31,10,28,27,24,22,25,32,16,17
24,śląskie,30,7,6,1,27,54,15,25,38,9,3,41,37,19,42
26,świętokrzyskie,8,,,1,3,12,3,3,13,1,,11,12,4,9
28,warmińsko-mazurskie,11,,5,8,30,15,10,26,27,,3,23,19,29,21
30,wielkopolskie,48,24,21,17,18,45,27,30,54,23,10,16,65,65,38
32,zachodniopomorskie,18,3,4,3,8,30,18,15,37,13,5,9,42,28,26
XX,nieokreślono,2,,,,,,,1,-1,1,,3,,1,2
PL,Polska,402,102,61,42,341,553,186,333,437,178,75,329,481,382,388
