TERYT,Województwo,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15
02,dolnośląskie,1985,1995,1995,1995,2020,2064,2068,2081,2103,2107,2107,2140,2166,2182,2201,2210,2211,2211,2221,2246,2257,2274,2289,2291,2292,2321,2351,2379,2392,2406,2407,2407,2430,2455,2462,2481,2492,2492,2492,2504,2517,2539,2560,2576,2577,2578,2589,2607,2613,2628,2643,2648,2649,2660,2688,2702,2728,2738,2745,2745,2760,2779,2800,2816,2831,2833,2833,2851,2880,2915,2935,2961,2968,2969,2987,3007,3017,3038,3057,3062,3062,3086,3130,3165,3199,3227,3231,3231,3260,3316,3351,3392,3426,3441,3441,3442,3496,3576,3614,3664,3667,3669,3715,3765,3811,3849,3881,3888,3889,3928,3986,4040,4077,4110,4122,4126,4159,4219,4266,4298,4340,4346,4347,4349,4362,4424,4455,4497,4506,4506,4528,4561,4594,4613,4634,4638,4638,4668,4696,4706,4723,4738,4742,4743,4755,4771,4790,4803,4812,4815,4815,4822,4828,4835,4837,4837,4837,4838,4846,4856,4863,4867,4873,4874,4874,4883,4888,4893,4894,4899,4899,4899,4901,4902,4903,4904,4905,4905,4905,4907,4907,4908,4909,4910,4910,4910,4911,4917,4922,4926,4928,4928,4928,4929,4931,4932,4932,4932,4932,4932,4932,4932,4934,4934,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4937,4937,4937,4937,4937,4937,4937,4937,4937,4937,4937,4937,4937,4937,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4941,4941,4942,4942,4942,4942,4943,4943,4943,4943,4943,4943,4943,4943
04,kujawsko-pomorskie,1534,1551,1560,1562,1590,1632,1650,1689,1748,1765,1771,1796,1840,1884,1908,1941,1957,1960,1985,2021,2065,2087,2115,2126,2131,2151,2196,2233,2248,2272,2282,2285,2307,2326,2378,2455,2477,2480,2482,2496,2530,2561,2576,2604,2607,2607,2626,2639,2669,2688,2702,2704,2705,2725,2758,2764,2778,2799,2800,2802,2829,2852,2873,2888,2898,2901,2908,2932,2957,2989,3013,3036,3041,3042,3080,3111,3132,3162,3187,3191,3199,3245,3292,3323,3353,3376,3382,3391,3442,3491,3533,3566,3608,3621,3624,3628,3691,3756,3790,3844,3851,3853,3927,3975,4008,4038,4093,4099,4104,4160,4199,4227,4249,4270,4271,4276,4317,4349,4378,4403,4426,4433,4437,4438,4490,4512,4535,4550,4554,4554,4582,4597,4609,4624,4638,4639,4639,4654,4667,4676,4683,4689,4690,4690,4696,4702,4706,4714,4720,4720,4720,4729,4730,4731,4734,4735,4735,4736,4741,4748,4748,4754,4757,4757,4757,4758,4761,4762,4763,4764,4764,4764,4766,4768,4769,4771,4775,4775,4775,4775,4776,4779,4779,4781,4781,4781,4782,4783,4783,4785,4785,4785,4785,4785,4786,4787,4787,4787,4787,4787,4787,4787,4787,4787,4787,4787,4787,4787,4787,4790,4790,4790,4790,4790,4790,4790,4791,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4795,4795,4795,4795,4795,4795,4795,4795,4795,4795,4795,4796,4796,4796,4797,4798,4798,4800,4800,4800,4800,4800,4800
06,lubelskie,1815,1819,1821,1822,1864,1892,1896,1926,1958,1974,1979,2003,2024,2062,2087,2114,2124,2133,2171,2203,2227,2249,2265,2280,2282,2300,2322,2355,2372,2391,2395,2398,2417,2441,2485,2500,2520,2528,2531,2558,2592,2636,2656,2676,2679,2682,2695,2712,2730,2751,2767,2776,2779,2799,2821,2840,2848,2890,2896,2897,2905,2921,2938,2954,2964,2977,2979,2996,3020,3036,3050,3076,3086,3086,3098,3127,3141,3172,3189,3193,3193,3223,3257,3297,3326,3346,3353,3354,3378,3425,3451,3469,3498,3502,3504,3504,3546,3590,3646,3702,3710,3715,3751,3785,3806,3831,3857,3875,3875,3916,3947,3969,3993,4023,4024,4024,4051,4069,4081,4102,4128,4131,4131,4131,4149,4172,4189,4200,4209,4209,4220,4238,4252,4265,4279,4282,4282,4291,4304,4317,4325,4335,4335,4335,4347,4354,4358,4364,4370,4370,4370,4373,4381,4396,4396,4401,4402,4404,4407,4416,4423,4425,4426,4427,4427,4428,4430,4433,4440,4440,4440,4440,4441,4449,4451,4454,4459,4459,4459,4460,4461,4463,4465,4467,4467,4467,4468,4468,4469,4470,4470,4470,4470,4472,4472,4472,4473,4475,4475,4475,4475,4475,4475,4477,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,4480,4481,4481,4482,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4484,4484,4485,4485,4485,4485,4485,4486,4486,4486,4486,4486,4486,4488,4488,4489,4491,4491,4491,4491,4492,4492,4493,4493,4493,4493,4493,4493,4501
08,lubuskie,684,687,687,688,701,712,716,727,734,740,745,750,763,771,797,821,826,826,835,854,877,883,891,895,895,900,909,941,953,959,960,960,962,975,991,998,1007,1007,1007,1010,1022,1041,1047,1056,1058,1058,1065,1083,1087,1098,1107,1111,1111,1112,1125,1129,1142,1150,1156,1156,1163,1166,1176,1189,1210,1212,1213,1217,1228,1249,1259,1277,1280,1280,1288,1307,1314,1330,1342,1351,1351,1355,1369,1385,1406,1437,1438,1446,1454,1468,1472,1499,1505,1505,1506,1514,1521,1540,1561,1578,1589,1589,1614,1632,1650,1678,1695,1701,1715,1728,1743,1770,1793,1805,1808,1808,1815,1824,1826,1836,1859,1861,1861,1861,1869,1889,1908,1917,1918,1919,1925,1934,1946,1954,1964,1964,1964,1966,1981,1988,1999,2001,2001,2001,2004,2007,2008,2009,2014,2016,2016,2018,2024,2028,2028,2032,2032,2032,2034,2036,2036,2037,2037,2037,2037,2039,2039,2041,2041,2041,2041,2041,2042,2042,2042,2043,2043,2043,2043,2044,2045,2045,2047,2047,2047,2047,2047,2047,2049,2051,2051,2051,2051,2051,2051,2051,2051,2051,2051,2051,2052,2052,2052,2052,2052,2052,2052,2052,2053,2053,2053,2053,2053,2053,2053,2054,2054,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2056,2056,2056,2056,2056,2056,2057,2057,2057,2057,2057,2057,2057,2058,2059,2060,2060,2060,2060,2061,2061
10,łódzkie,1901,1905,1905,1905,1926,2051,2080,2130,2159,2166,2168,2196,2239,2274,2311,2345,2350,2352,2380,2421,2465,2488,2514,2518,2518,2531,2563,2594,2627,2641,2645,2645,2663,2716,2744,2763,2777,2780,2780,2796,2825,2853,2871,2884,2887,2887,2903,2917,2931,2953,2964,2974,2974,2983,2996,3027,3037,3052,3054,3054,3065,3089,3097,3113,3129,3132,3132,3142,3161,3180,3202,3222,3228,3228,3242,3271,3296,3322,3337,3345,3347,3371,3393,3426,3457,3480,3490,3490,3515,3561,3604,3634,3702,3707,3707,3709,3729,3792,3844,3905,3921,3931,3969,4009,4072,4113,4145,4150,4151,4189,4250,4317,4358,4389,4408,4409,4438,4483,4541,4573,4610,4618,4620,4621,4638,4677,4725,4749,4753,4754,4786,4813,4838,4859,4879,4883,4883,4901,4915,4936,4948,4957,4958,4958,4970,4990,4999,5005,5014,5014,5014,5026,5040,5052,5054,5056,5056,5056,5062,5075,5085,5088,5089,5091,5091,5094,5097,5100,5102,5103,5103,5103,5103,5106,5106,5109,5111,5111,5111,5113,5115,5117,5117,5118,5118,5118,5119,5121,5124,5125,5126,5126,5126,5127,5127,5127,5127,5127,5128,5128,5128,5128,5130,5130,5130,5130,5130,5131,5132,5132,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5133,5135,5135,5135,5135,5135,5136,5137,5139,5139,5139,5139,5139,5140,5143,5143,5145,5147,5147,5147,5149,5149
12,małopolskie,2683,2683,2685,2685,2708,2731,2733,2743,2756,2758,2759,2785,2820,2832,2848,2862,2869,2869,2888,2906,2919,2929,2952,2958,2958,2976,3008,3019,3030,3039,3040,3040,3060,3088,3096,3105,3121,3121,3121,3140,3155,3182,3196,3207,3209,3212,3228,3252,3263,3274,3288,3291,3291,3322,3337,3341,3355,3374,3375,3379,3393,3401,3412,3425,3441,3447,3447,3471,3487,3500,3514,3530,3532,3539,3585,3611,3632,3666,3691,3696,3701,3742,3770,3797,3830,3854,3860,3865,3913,3953,4003,4042,4095,4107,4115,4117,4218,4305,4376,4426,4435,4442,4552,4613,4649,4714,4784,4792,4798,4860,4903,4943,4985,5019,5023,5029,5090,5156,5194,5223,5252,5255,5263,5264,5329,5385,5412,5431,5432,5434,5478,5499,5529,5548,5567,5567,5570,5597,5616,5631,5648,5657,5658,5660,5678,5704,5710,5720,5727,5729,5731,5750,5757,5765,5765,5766,5770,5770,5782,5788,5796,5804,5806,5806,5806,5812,5814,5816,5817,5820,5820,5820,5831,5831,5832,5834,5837,5837,5837,5843,5845,5846,5849,5850,5850,5850,5850,5855,5861,5861,5861,5861,5861,5863,5863,5863,5863,5863,5863,5863,5863,5864,5864,5864,5864,5864,5864,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5866,5866,5866,5866,5866,5866,5866,5867,5867,5867,5867,5867,5869,5869,5869,5869,5869,5869,5869,5869,5870,5871,5871,5871,5871,5871,5872,5872,5873,5873,5876,5876,5876,5876,5879
14,mazowieckie,3462,3477,3479,3480,3507,3546,3570,3599,3643,3683,3692,3718,3768,3809,3865,3908,3921,3932,3952,4001,4064,4128,4171,4185,4189,4223,4273,4316,4390,4436,4469,4491,4535,4628,4719,4783,4825,4839,4849,4868,4922,5010,5035,5080,5110,5110,5134,5172,5225,5249,5302,5318,5320,5363,5422,5467,5502,5535,5558,5562,5601,5643,5688,5729,5756,5779,5781,5818,5907,5979,6044,6090,6112,6118,6154,6224,6268,6318,6358,6394,6406,6464,6533,6592,6645,6694,6715,6716,6763,6838,6938,7003,7080,7119,7123,7130,7193,7330,7418,7516,7563,7569,7639,7745,7838,7908,7981,8026,8029,8081,8179,8250,8330,8380,8413,8413,8447,8519,8602,8651,8682,8695,8697,8701,8735,8775,8838,8883,8896,8896,8915,8964,9004,9046,9071,9079,9079,9095,9117,9157,9176,9189,9195,9196,9205,9250,9273,9282,9290,9301,9301,9308,9316,9319,9321,9325,9325,9326,9332,9351,9364,9377,9380,9380,9380,9384,9394,9403,9406,9409,9409,9409,9411,9413,9415,9427,9428,9428,9428,9429,9429,9431,9436,9439,9439,9439,9441,9442,9443,9443,9445,9446,9446,9446,9446,9447,9453,9453,9454,9454,9454,9454,9454,9454,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,9457,9457,9457,9457,9457,9457,9457,9457,9458,9458,9458,9458,9458,9458,9460,9462,9462,9462,9462,9462,9463,9463,9463,9463,9463,9463,9463,9464,9465,9465,9465,9465,9465,9470,9470,9473,9473,9474,9474,9474,9474,9474
16,opolskie,1055,1057,1057,1057,1069,1084,1089,1098,1106,1106,1107,1115,1118,1121,1127,1130,1131,1131,1141,1145,1152,1158,1164,1164,1164,1174,1175,1179,1184,1189,1189,1189,1197,1203,1211,1212,1231,1233,1233,1242,1250,1253,1259,1283,1283,1283,1288,1303,1309,1309,1312,1313,1313,1318,1323,1329,1340,1345,1345,1345,1353,1358,1359,1363,1364,1367,1367,1376,1382,1387,1392,1397,1397,1397,1401,1403,1410,1417,1435,1437,1437,1448,1456,1470,1480,1496,1498,1500,1518,1534,1556,1566,1573,1581,1581,1581,1597,1633,1655,1667,1678,1682,1698,1722,1737,1744,1753,1756,1757,1773,1797,1808,1818,1824,1827,1828,1839,1852,1863,1874,1882,1885,1885,1886,1894,1915,1922,1930,1933,1934,1945,1953,1960,1968,1976,1976,1976,1982,1988,1994,1996,1998,1999,1999,2004,2009,2012,2016,2019,2019,2021,2023,2026,2029,2030,2031,2031,2031,2033,2033,2034,2034,2035,2035,2035,2037,2041,2042,2043,2044,2044,2044,2044,2047,2047,2048,2048,2049,2049,2049,2049,2050,2051,2051,2051,2051,2051,2051,2051,2052,2052,2052,2052,2052,2052,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2057
18,podkarpackie,1852,1854,1860,1862,1880,1904,1911,1919,1930,1937,1940,1964,1977,1994,2011,2026,2038,2042,2046,2060,2075,2095,2103,2106,2106,2109,2119,2132,2146,2162,2167,2167,2177,2192,2212,2220,2236,2241,2241,2246,2258,2266,2277,2290,2304,2306,2310,2321,2337,2352,2366,2370,2370,2378,2397,2415,2433,2463,2474,2474,2484,2506,2517,2539,2560,2579,2581,2587,2605,2630,2661,2684,2694,2696,2719,2752,2791,2822,2855,2862,2862,2884,2937,2967,3002,3040,3060,3063,3081,3120,3168,3218,3263,3280,3284,3286,3320,3380,3431,3488,3500,3505,3524,3574,3633,3688,3734,3753,3755,3792,3844,3901,3931,3962,3981,3982,4017,4057,4080,4110,4130,4140,4141,4141,4160,4182,4197,4239,4245,4245,4262,4278,4286,4294,4310,4315,4315,4319,4332,4344,4351,4365,4366,4366,4367,4375,4381,4390,4393,4397,4397,4400,4411,4416,4416,4420,4421,4422,4424,4425,4428,4428,4431,4431,4431,4433,4433,4435,4436,4442,4442,4442,4442,4442,4443,4445,4446,4446,4446,4447,4448,4448,4449,4449,4449,4449,4449,4449,4449,4449,4450,4450,4450,4451,4451,4457,4457,4458,4458,4458,4459,4459,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4462,4463,4463,4463,4463,4463,4463,4463,4464,4464,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4465,4466,4466,4466,4466,4467,4467,4467,4469,4469,4469,4469,4469,4469,4470,4472,4472,4472,4472,4473
20,podlaskie,844,855,855,858,865,880,886,892,909,917,917,919,945,951,958,962,964,964,967,986,989,999,1012,1021,1022,1022,1038,1046,1067,1081,1092,1093,1095,1105,1121,1137,1145,1152,1152,1156,1169,1180,1190,1200,1210,1210,1212,1228,1243,1255,1269,1276,1280,1284,1304,1322,1332,1343,1357,1357,1364,1385,1394,1405,1416,1431,1432,1435,1450,1466,1480,1483,1497,1497,1500,1523,1534,1544,1562,1569,1571,1574,1592,1609,1622,1639,1644,1645,1650,1672,1688,1697,1705,1713,1713,1714,1725,1737,1755,1783,1793,1794,1801,1824,1841,1855,1865,1871,1873,1881,1896,1925,1931,1942,1952,1952,1964,1981,1990,1999,2006,2007,2007,2008,2014,2023,2031,2039,2046,2046,2048,2057,2064,2067,2069,2074,2074,2078,2080,2081,2086,2090,2093,2093,2095,2104,2106,2111,2111,2115,2115,2116,2119,2120,2123,2124,2124,2124,2127,2131,2133,2135,2136,2137,2137,2138,2139,2140,2140,2140,2141,2141,2141,2142,2142,2142,2142,2142,2142,2142,2142,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2144,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2147,2148,2149,2149,2149,2149,2149,2149,2149,2149,2149,2149,2149,2149,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2152,2152,2152,2152,2152,2152,2152,2152,2154
