wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;6055;1,58;142;37;105;t00
dolnoœl¹skie;302;1,04;1;0;1;t02
kujawsko-pomorskie;658;3,18;16;1;15;t04
lubelskie;318;1,51;10;2;8;t06
lubuskie;247;2,45;5;3;2;t08
³ódzkie;351;1,43;5;1;4;t10
ma³opolskie;225;0,66;7;7;0;t12
mazowieckie;816;1,50;13;3;10;t14
opolskie;99;1,01;1;0;1;t16
podkarpackie;177;0,83;12;4;8;t18
podlaskie;121;1,03;2;0;2;t20
pomorskie;603;2,57;1;0;1;t22
œl¹skie;408;0,91;6;1;5;t24
œwiêtokrzyskie;125;1,02;1;0;1;t26
warmiñsko-mazurskie;287;2,02;2;0;2;t28
wielkopolskie;828;2,37;40;14;26;t30
zachodniopomorskie;324;1,91;20;1;19;t32
