wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;4835;1,26;291;60;231;t00
dolnoœl¹skie;311;1,07;10;8;2;t02
kujawsko-pomorskie;438;2,12;25;1;24;t04
lubelskie;266;1,26;38;12;26;t06
lubuskie;85;0,84;9;6;3;t08
³ódzkie;275;1,12;28;4;24;t10
ma³opolskie;234;0,69;19;8;11;t12
mazowieckie;683;1,26;20;1;19;t14
opolskie;95;0,97;10;2;8;t16
podkarpackie;188;0,88;4;0;4;t18
podlaskie;126;1,07;3;0;3;t20
pomorskie;411;1,75;22;4;18;t22
œl¹skie;368;0,82;31;2;29;t24
œwiêtokrzyskie;77;0,63;4;0;4;t26
warmiñsko-mazurskie;354;2,49;27;4;23;t28
wielkopolskie;413;1,18;27;8;19;t30
zachodniopomorskie;392;2,32;14;0;14;t32
