TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2022-01-14 10:31:00,320388,6417,223405,51.134,16.8842
04,kujawsko-pomorskie,2022-01-14 10:31:00,248734,6341,154173,53.1648,18.4834
06,lubelskie,2022-01-14 10:31:00,218945,7012,148127,51.2494,23.1011
08,lubuskie,2022-01-14 10:31:00,107329,2700,74441,52.2275,15.2559
10,łódzkie,2022-01-14 10:31:00,262053,6939,170874,51.4635,19.1727
12,małopolskie,2022-01-14 10:31:00,341099,8191,218366,49.7225,20.2503
14,mazowieckie,2022-01-14 10:31:00,636928,12893,464174,51.8927,21.0022
16,opolskie,2022-01-14 10:31:00,108334,2947,68678,50.8004,17.938
18,podkarpackie,2022-01-14 10:31:00,184175,6218,117742,50.0575,22.0896
20,podlaskie,2022-01-14 10:31:00,113090,3331,76906,53.0697,22.9675
22,pomorskie,2022-01-14 10:31:00,276121,5674,182719,54.2944,18.1531
24,śląskie,2022-01-14 10:31:00,517971,12318,349258,50.5717,19.322
26,świętokrzyskie,2022-01-14 10:31:00,102838,3463,65499,50.6261,20.9406
28,warmińsko-mazurskie,2022-01-14 10:31:00,170649,4025,110297,53.8671,20.7028
30,wielkopolskie,2022-01-14 10:31:00,403119,9310,259343,52.28,17.3523
32,zachodniopomorskie,2022-01-14 10:31:00,202228,3977,131782,53.4658,15.1823
,nieokreślono,2022-01-14 10:31:00,67481,85,949829,52.0693,19.4803
