TERYT,Województwo,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10
02,dolnośląskie,1623,1263,1092,573,433,867,1397,1381,1149,1200,518,567,1143,1465,1718,1038,1063,1051,742,898,1529,1664,1515,1587,1452,1027,1885,2890,3525,3489,3781,3835,2614,3256,4962,5238,5167,4553,5055,3857,3973
04,kujawsko-pomorskie,969,950,440,367,221,715,753,742,701,572,367,301,773,770,821,493,617,458,334,637,664,758,636,749,482,359,998,1077,1400,1310,1583,1373,820,3107,2565,2825,2503,2272,2717,1757,2590
06,lubelskie,486,541,257,138,129,532,484,494,524,513,223,207,621,715,778,381,486,501,285,692,765,839,673,917,576,402,1390,1548,1825,1895,1882,1716,1281,3302,3252,3778,3542,3322,2552,1735,3291
08,lubuskie,545,484,319,226,129,280,348,420,398,364,228,153,247,398,405,345,248,220,223,188,345,389,253,200,289,169,266,468,453,568,531,713,506,1303,730,952,1081,993,819,958,1011
10,łódzkie,1094,974,688,342,348,844,957,899,895,757,433,384,899,1034,920,571,670,675,452,858,785,854,898,898,699,688,1352,1551,2005,2020,2616,2192,1627,3267,4036,3878,4093,3937,3307,2570,3727
12,małopolskie,1649,1504,891,834,655,909,1514,1639,1606,1409,776,995,1255,2324,2309,1777,1458,1621,1151,1538,2467,2755,2403,2524,2478,1706,2255,3895,4325,4509,4384,3839,3531,2905,4967,4969,5295,4511,3713,3052,3685
14,mazowieckie,2488,2143,1539,1060,879,1577,2085,2166,1842,1921,1183,1153,2009,2676,2767,2185,1747,2020,1696,2196,2821,3494,3073,3085,3096,2534,4037,6161,6860,7006,8121,6259,5692,5957,9999,10917,9701,8890,7746,5831,8072
16,opolskie,662,546,390,250,223,305,436,550,361,415,298,247,310,423,529,287,327,321,254,225,459,518,397,427,342,315,455,681,895,841,1056,1283,572,1123,1481,1430,1831,1775,1859,1314,1065
18,podkarpackie,567,507,391,191,196,443,557,540,588,523,256,302,667,697,917,493,648,539,386,738,1013,1032,1017,1257,812,700,1406,2179,2325,2549,2674,2157,1580,1869,3186,3065,2905,2871,2445,1203,1835
20,podlaskie,200,180,124,88,72,181,264,182,216,158,90,126,251,293,302,123,214,240,71,250,309,314,245,259,244,146,422,595,725,685,861,559,499,1356,1443,1367,1373,1435,926,696,1333
22,pomorskie,1149,1124,582,497,520,816,972,1075,893,782,624,577,780,1319,1130,867,764,841,640,1101,1126,1231,1244,1359,1078,867,1351,2209,2595,2948,3083,3357,2382,3571,4651,5748,4792,5394,4425,3766,3351
24,śląskie,2151,2065,1309,1002,779,1260,2135,2043,1616,1444,851,885,1301,2129,2024,1549,1161,1516,1007,1296,2127,2317,2313,2337,2260,1610,2734,5401,6061,6930,7285,6759,5880,6448,9362,10960,10971,9237,8241,6923,7004
26,świętokrzyskie,395,339,319,183,127,272,398,334,346,384,195,165,304,399,408,285,295,315,191,315,369,396,346,430,339,212,521,700,728,749,784,596,532,1215,1091,1288,1094,1263,902,670,1225
28,warmińsko-mazurskie,604,449,393,177,157,407,507,545,444,430,206,163,551,578,523,272,418,285,224,437,510,471,502,563,419,302,848,1186,1310,1172,1331,1030,766,2008,1973,2229,2001,2003,1464,1200,2370
30,wielkopolskie,1823,1621,1117,738,492,1288,1617,1402,1418,1229,716,614,1333,1575,1630,998,1059,993,621,1060,1417,1394,1321,1531,1179,774,1665,2447,2813,3191,3164,2959,1805,5007,5021,5640,5584,5441,4060,3054,4308
32,zachodniopomorskie,1007,866,659,363,265,650,740,688,737,772,322,292,785,911,803,605,604,496,350,621,725,725,625,655,602,426,1059,1162,1410,1483,1619,1318,1277,2546,2742,2788,2711,2489,2209,1806,1984
XX,nieokreślono,-1839,-804,-888,-3861,-3500,-3134,-1212,-2558,-1224,-1110,-3827,-3345,-3353,-3552,-3584,-1905,-2105,-6004,-6677,-7421,-7740,-7747,-4469,-4675,-11341,-10496,-10375,-9298,-9012,-4395,-4294,-10343,-9237,-14386,-7749,-7651,-3351,-3497,-8869,-7511,-6201
PL,Polska,15573,14752,9622,3168,2125,8212,13952,12542,12510,11763,3459,3786,9876,14154,14400,10364,9674,6088,1950,5629,9691,11404,12992,14103,5006,1741,12269,24852,30243,36950,40461,29602,22127,33854,53712,59421,61293,56889,43571,32881,44623
