TERYT,Województwo,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16
02,dolnośląskie,1109,624,466,1096,1297,1656,1015,935,927,671,822,1334,1389,1452,1370,1329,658,1879,2458,2789,3203,3644,2746,2764,3167,4423,4568,4788,4120,4005,3363,3239,4173,4537,3469,3391,2844,1741,3045,3395,3266,2756,2027,1833,996,1531,2118
04,kujawsko-pomorskie,562,312,260,687,765,775,484,583,390,275,610,612,656,589,644,447,293,776,986,1161,1158,1404,1148,744,1147,2204,2498,2186,1955,2432,1285,1798,3066,3123,2798,2702,2483,1684,2737,4222,3716,3714,3222,2538,1444,2481,2997
06,lubelskie,478,196,180,537,715,692,401,436,468,256,604,774,748,605,869,491,349,1274,1362,1543,1697,1800,1507,1147,2453,3001,3287,3061,2989,2318,1483,2000,3691,2735,2475,2299,1540,924,2462,2430,2056,1867,1557,803,516,1486,1272
08,lubuskie,316,251,150,219,330,440,260,267,252,169,189,293,362,231,248,241,171,205,354,454,514,495,581,469,451,649,759,887,927,733,740,836,906,1142,1331,1029,1289,779,813,1084,1512,1259,1215,871,679,616,988
10,łódzkie,746,360,273,835,1063,801,483,666,590,421,785,758,744,810,683,710,530,1191,1360,1773,1765,2387,1889,1453,2473,3499,3099,3877,3443,3044,2141,2710,3663,3902,3344,3338,2517,1539,2595,3381,2750,2070,2083,1380,789,1394,1518
12,małopolskie,1276,764,980,1122,2174,2018,1687,1394,1469,1038,1355,2174,2507,2208,2290,2269,1428,2000,3471,3653,4207,4001,3362,2868,3230,4557,4281,4475,3881,3591,2540,2919,4276,3821,3127,2872,2076,1387,1909,2797,2424,1992,1759,1153,705,1028,1497
14,mazowieckie,1718,1131,969,1690,2601,2413,2147,1621,1820,1513,1750,2812,2909,2812,2759,2578,2273,3610,5594,5863,6227,7120,5781,5348,6340,8524,9788,8262,8367,6790,4978,6236,7608,7858,7080,6536,4962,3381,4925,6656,5601,4575,4253,2926,2153,3570,3908
16,opolskie,405,277,234,296,389,481,282,320,249,250,170,442,474,353,381,335,249,394,623,753,699,1000,1036,532,875,1219,1286,1632,1488,1591,1068,931,1416,1522,1071,1380,959,568,538,1072,938,934,615,647,293,348,563
18,podkarpackie,536,252,246,565,681,758,561,540,508,349,627,919,941,918,1122,795,613,1204,1789,1913,2403,2329,2001,1481,2004,2785,2666,2552,2517,2340,959,1429,2442,1913,1932,1382,1044,594,1027,1208,1180,778,671,461,308,440,617
20,podlaskie,160,65,104,231,297,267,118,201,212,55,237,280,280,224,257,222,121,376,518,596,585,818,453,376,922,1259,1187,1207,1261,754,489,1079,1444,1274,1107,1026,562,408,962,1143,903,735,768,398,228,596,737
22,pomorskie,776,555,469,737,1157,1075,816,667,887,563,900,1040,1114,1140,1181,814,662,1063,2341,2145,2251,2857,2907,2285,2175,3722,5285,4211,3824,4204,3226,2875,3826,3722,3389,3216,2836,1682,2471,3425,3004,2251,2236,1400,965,1240,1878
24,śląskie,1218,925,815,1086,2047,1857,1515,996,1262,945,1069,1898,2046,2026,2055,2068,1494,2193,4647,4971,5923,6442,5526,5276,5509,8042,8511,9916,7603,7895,5502,5698,7925,8362,5993,6098,3993,2307,3465,5250,4100,3447,2768,1852,952,1723,2256
26,świętokrzyskie,381,174,146,298,367,396,256,287,279,174,275,367,348,311,395,301,202,461,585,642,715,688,529,481,876,984,1116,1040,998,874,566,962,1214,1206,1439,997,993,554,1084,1319,1251,1155,1011,597,424,714,847
28,warmińsko-mazurskie,411,168,145,536,554,485,267,393,246,194,419,462,432,457,493,362,260,741,1034,973,1138,1169,781,776,1461,1579,1842,1756,1783,1268,822,1840,1937,1897,1830,1617,988,637,1887,1718,1608,1176,1155,696,420,1148,1397
30,wielkopolskie,1121,765,563,1034,1714,1520,960,967,912,548,938,1270,1247,1216,1413,1007,699,1392,2195,2396,2587,3152,2445,1694,2536,4583,4646,4935,3960,4463,2424,3098,5632,5154,4809,5460,3934,2351,3986,5224,5436,4937,4265,3298,1705,2589,4350
32,zachodniopomorskie,720,288,339,552,912,812,549,509,526,300,545,616,559,624,598,569,358,752,1091,1050,1410,1367,1208,1268,1168,2120,2575,2220,2304,1744,1725,1229,2573,2060,2132,2259,1509,1327,1850,2347,2175,1993,1591,1101,806,1248,1805
XX,nieokreślono,100,73,84,146,134,131,100,115,110,66,107,122,118,73,135,123,86,137,180,160,182,205,223,135,258,266,265,260,270,241,166,237,259,247,210,146,171,2541,-446,178,151,129,841,-619,77,91,89
PL,Polska,12033,7180,6423,11667,17197,16577,11901,10897,11107,7787,11402,16173,16874,16049,16893,14661,10446,19648,30588,32835,36664,40878,34123,29097,37045,53416,57659,57265,51690,48287,33477,39116,56051,54475,47536,45748,34700,24404,35310,46849,42071,35768,32037,21335,13460,22243,28837
