TERYT,Województwo,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13
02,dolnośląskie,306704,307328,307794,308890,310187,311843,312858,313793,314720,315391,316213,317547,318936,320388,321758,323087,323745,325624,328082,330871,334074,337718,340464,343228,346395,350818,355386,360174,364294,368299,371662,374901,379074,383611,387080,390471,393315,395056,398101,401496,404762,407518,409545,411378
04,kujawsko-pomorskie,241736,242048,242308,242995,243760,244535,245019,245602,245992,246267,246877,247489,248145,248734,249378,249825,250118,250894,251880,253041,254199,255603,256751,257495,258642,260846,263344,265530,267485,269917,271202,273000,276066,279189,281987,284689,287172,288856,291593,295815,299531,303245,306467,309005
06,lubelskie,212333,212529,212709,213246,213961,214653,215054,215490,215958,216214,216818,217592,218340,218945,219814,220305,220654,221928,223290,224833,226530,228330,229837,230984,233437,236438,239725,242786,245775,248093,249576,251576,255267,258002,260477,262776,264316,265240,267702,270132,272188,274055,275612,276415
08,lubuskie,103916,104167,104317,104536,104866,105306,105566,105833,106085,106254,106443,106736,107098,107329,107577,107818,107989,108194,108548,109002,109516,110011,110592,111061,111512,112161,112920,113807,114734,115467,116207,117043,117949,119091,120422,121451,122740,123519,124332,125416,126928,128187,129402,130273
10,łódzkie,253464,253824,254097,254932,255995,256796,257279,257945,258535,258956,259741,260499,261243,262053,262736,263446,263976,265167,266527,268300,270065,272452,274341,275794,278267,281766,284865,288742,292185,295229,297370,300080,303743,307645,310989,314327,316844,318383,320978,324359,327109,329179,331262,332642
12,małopolskie,320209,320973,321953,323075,325249,327267,328954,330348,331817,332855,334210,336384,338891,341099,343389,345658,347086,349086,352557,356210,360417,364418,367780,370648,373878,378435,382716,387191,391072,394663,397203,400122,404398,408219,411346,414218,416294,417681,419590,422387,424811,426803,428562,429715
14,mazowieckie,610740,611871,612840,614530,617131,619544,621691,623312,625132,626645,628395,631207,634116,636928,639687,642265,644538,648148,653742,659605,665832,672952,678733,684081,690421,698945,708733,716995,725362,732152,737130,743366,750974,758832,765912,772448,777410,780791,785716,792372,797973,802548,806801,809727
16,opolskie,104117,104394,104628,104924,105313,105794,106076,106396,106645,106895,107065,107507,107981,108334,108715,109050,109299,109693,110316,111069,111768,112768,113804,114336,115211,116430,117716,119348,120836,122427,123495,124426,125842,127364,128435,129815,130774,131342,131880,132952,133890,134824,135439,136086
18,podkarpackie,176310,176562,176808,177373,178054,178812,179373,179913,180421,180770,181397,182316,183257,184175,185297,186092,186705,187909,189698,191611,194014,196343,198344,199825,201829,204614,207280,209832,212349,214689,215648,217077,219519,221432,223364,224746,225790,226384,227411,228619,229799,230577,231248,231709
20,podlaskie,110519,110584,110688,110919,111216,111483,111601,111802,112014,112069,112306,112586,112866,113090,113347,113569,113690,114066,114584,115180,115765,116583,117036,117412,118334,119593,120780,121987,123248,124002,124491,125570,127014,128288,129395,130421,130983,131391,132353,133496,134399,135134,135902,136300
22,pomorskie,265001,265556,266025,266762,267919,268994,269810,270477,271364,271927,272827,273867,274981,276121,277302,278116,278778,279841,282182,284327,286578,289435,292342,294627,296802,300524,305809,310020,313844,318048,321274,324149,327975,331697,335086,338302,341138,342820,345291,348716,351720,353971,356207,357607
24,śląskie,499484,500409,501224,502310,504357,506214,507729,508725,509987,510932,512001,513899,515945,517971,520026,522094,523588,525781,530428,535399,541322,547764,553290,558566,564075,572117,580628,590544,598147,606042,611544,617242,625167,633529,639522,645620,649613,651920,655385,660635,664735,668182,670950,672802
26,świętokrzyskie,99160,99334,99480,99778,100145,100541,100797,101084,101363,101537,101812,102179,102527,102838,103233,103534,103736,104197,104782,105424,106139,106827,107356,107837,108713,109697,110813,111853,112851,113725,114291,115253,116467,117673,119112,120109,121102,121656,122740,124059,125310,126465,127476,128073
28,warmińsko-mazurskie,165891,166059,166204,166740,167294,167779,168046,168439,168685,168879,169298,169760,170192,170649,171142,171504,171764,172505,173539,174512,175650,176819,177600,178376,179837,181416,183258,185014,186797,188065,188887,190727,192664,194561,196391,198008,198996,199633,201520,203238,204846,206022,207177,207873
30,wielkopolskie,389465,390230,390793,391827,393541,395061,396021,396988,397900,398448,399386,400656,401903,403119,404532,405539,406238,407630,409825,412221,414808,417960,420405,422099,424635,429218,433864,438799,442759,447222,449646,452744,458376,463530,468339,473799,477733,480084,484070,489294,494730,499667,503932,507230
32,zachodniopomorskie,195097,195385,195724,196276,197188,198000,198549,199058,199584,199884,200429,201045,201604,202228,202826,203395,203753,204505,205596,206646,208056,209423,210631,211899,213067,215187,217762,219982,222286,224030,225755,226984,229557,231617,233749,236008,237517,238844,240694,243041,245216,247209,248800,249901
XX,nieokreślono,66102,66175,66259,66405,66539,66670,66770,66885,66995,67061,67168,67290,67408,67481,67616,67739,67825,67962,68142,68302,68484,68689,68912,69047,69305,69571,69836,70096,70366,70607,70773,71010,71269,71516,71726,71872,72043,74584,74138,74316,74467,74596,75437,74818
PL,Polska,4120248,4127428,4133851,4145518,4162715,4179292,4191193,4202090,4213197,4220984,4232386,4248559,4265433,4281482,4298375,4313036,4323482,4343130,4373718,4406553,4443217,4484095,4518218,4547315,4584360,4637776,4695435,4752700,4804390,4852677,4886154,4925270,4981321,5035796,5083332,5129080,5163780,5188184,5223494,5270343,5312414,5348182,5380219,5401554
