TERYT,Województwo,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27
02,dolnośląskie,35,1,1,50,42,33,,2,,,55,58,29,40,81,,,28,9,17,13,11,,,15,19,12
04,kujawsko-pomorskie,27,1,2,57,33,36,1,25,,3,35,38,21,16,22,1,,17,20,22,10,11,1,,20,12,18
06,lubelskie,23,,,22,28,25,,13,,,31,23,29,15,17,,,14,10,16,10,10,,,8,12,11
08,lubuskie,18,,,12,31,50,15,11,2,,25,11,17,14,11,1,,10,2,10,9,,,,5,8,22
10,łódzkie,41,2,,30,40,44,2,18,,,24,66,23,33,25,3,1,36,41,36,22,19,1,,27,20,11
12,małopolskie,54,1,2,26,26,70,10,23,,1,64,65,51,31,43,,1,43,13,26,27,20,1,,37,28,24
14,mazowieckie,34,18,1,28,90,50,46,16,9,4,42,61,70,40,54,19,,46,34,34,37,14,8,,19,21,24
16,opolskie,12,,,16,21,29,1,7,,,20,31,6,12,8,,,10,24,12,12,5,,,7,11,6
18,podkarpackie,51,,,10,24,57,4,30,,,8,48,10,47,31,,,9,9,27,20,26,2,,3,20,25
20,podlaskie,22,3,,2,13,9,3,4,,,8,16,8,13,10,1,1,4,10,5,7,6,1,,3,9,8
22,pomorskie,36,1,2,27,28,17,9,30,5,10,38,33,48,22,11,1,,21,30,19,4,10,5,,12,8,20
24,śląskie,40,4,,55,122,74,17,40,,,70,82,78,60,37,,,59,47,28,19,12,,,43,41,34
26,świętokrzyskie,20,,,15,17,24,2,15,,,10,35,14,15,19,5,,18,31,16,9,14,1,,12,15,10
28,warmińsko-mazurskie,27,,1,23,37,14,,10,1,,28,24,14,14,7,,1,10,19,12,12,12,,,14,9,7
30,wielkopolskie,46,,,49,45,74,,38,,,26,63,37,35,34,1,,40,48,28,23,15,,,21,25,23
32,zachodniopomorskie,19,2,,11,35,40,7,10,5,1,9,30,26,16,19,3,,12,28,7,14,8,5,2,6,18,7
XX,nieokreślono,,,,,,-1,,,,,,,,-1,,,,,1,1,,,,,-1,,1
PL,Polska,505,33,9,433,632,645,117,292,22,19,493,684,481,422,429,35,4,377,376,316,248,193,25,2,251,276,263
