TERYT,Województwo,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18
02,dolnośląskie,6106,6107,6108,6158,6200,6233,6233,6235,6235,6235,6290,6348,6377,6417,6498,6498,6498,6526,6535,6552,6565,6576,6576,6576,6591,6610,6622,6643,6665,6665,6667,6688,6699,6714,6737,6747,6747,6747,6772,6792,6817,6833,6880,6883,6883,6910,6938,6971,6994
04,kujawsko-pomorskie,6073,6074,6076,6133,6166,6202,6203,6228,6228,6231,6266,6304,6325,6341,6363,6364,6364,6381,6401,6423,6433,6444,6445,6445,6465,6477,6495,6510,6516,6517,6517,6541,6562,6572,6581,6593,6593,6595,6609,6626,6635,6644,6656,6660,6663,6689,6705,6725,6743
06,lubelskie,6826,6826,6826,6848,6876,6901,6901,6914,6914,6914,6945,6968,6997,7012,7029,7029,7029,7043,7053,7069,7079,7089,7089,7089,7097,7109,7120,7129,7145,7145,7145,7154,7168,7183,7202,7216,7216,7216,7236,7252,7265,7281,7289,7289,7289,7321,7339,7356,7372
08,lubuskie,2512,2512,2512,2524,2555,2605,2620,2631,2633,2633,2658,2669,2686,2700,2711,2712,2712,2722,2724,2734,2743,2743,2743,2743,2748,2756,2778,2784,2785,2786,2786,2786,2788,2796,2796,2800,2800,2800,2804,2820,2829,2840,2852,2853,2853,2865,2877,2884,2896
10,łódzkie,6657,6659,6659,6689,6729,6773,6775,6793,6793,6793,6817,6883,6906,6939,6964,6967,6968,7004,7045,7081,7103,7122,7123,7123,7150,7170,7181,7207,7223,7227,7237,7257,7277,7295,7313,7351,7351,7353,7366,7389,7400,7425,7449,7449,7450,7478,7513,7533,7555
12,małopolskie,7821,7822,7824,7850,7876,7946,7956,7979,7979,7980,8044,8109,8160,8191,8234,8234,8235,8278,8291,8317,8344,8364,8365,8365,8402,8430,8454,8467,8486,8486,8493,8521,8567,8595,8614,8655,8656,8656,8696,8718,8745,8786,8825,8825,8826,8867,8899,8925,8943
14,mazowieckie,12418,12436,12437,12465,12555,12605,12651,12667,12676,12680,12722,12783,12853,12893,12947,12966,12966,13012,13046,13080,13117,13131,13139,13139,13158,13179,13203,13235,13252,13261,13262,13275,13290,13311,13340,13360,13371,13375,13402,13428,13457,13484,13513,13525,13525,13567,13596,13638,13662
16,opolskie,2804,2804,2804,2820,2841,2870,2871,2878,2878,2878,2898,2929,2935,2947,2955,2955,2955,2965,2989,3001,3013,3018,3018,3018,3025,3036,3042,3048,3056,3057,3057,3066,3071,3073,3082,3087,3087,3087,3100,3109,3122,3130,3134,3136,3136,3148,3159,3167,3174
18,podkarpackie,5980,5980,5980,5990,6014,6071,6075,6105,6105,6105,6113,6161,6171,6218,6249,6249,6249,6258,6267,6294,6314,6340,6342,6342,6345,6365,6390,6423,6459,6459,6460,6466,6483,6506,6533,6560,6560,6560,6565,6590,6599,6635,6668,6668,6668,6687,6707,6744,6777
20,podlaskie,3252,3255,3255,3257,3270,3279,3282,3286,3286,3286,3294,3310,3318,3331,3341,3342,3343,3347,3357,3362,3369,3375,3376,3376,3379,3388,3396,3402,3410,3411,3411,3417,3422,3434,3440,3444,3445,3445,3452,3461,3471,3476,3484,3484,3484,3489,3497,3505,3511
22,pomorskie,5404,5405,5407,5434,5462,5479,5488,5518,5523,5533,5571,5604,5652,5674,5685,5686,5686,5707,5737,5756,5760,5770,5775,5775,5787,5795,5815,5848,5864,5864,5864,5884,5915,5932,5944,5969,5970,5970,5992,6002,6011,6019,6032,6035,6047,6061,6079,6090,6108
24,śląskie,11716,11720,11720,11775,11897,11971,11988,12028,12028,12028,12098,12180,12258,12318,12355,12355,12355,12414,12461,12489,12508,12520,12520,12520,12563,12604,12638,12660,12678,12678,12689,12728,12801,12838,12859,12881,12881,12881,12931,12982,13023,13053,13084,13084,13084,13141,13197,13232,13270
26,świętokrzyskie,3316,3316,3316,3331,3348,3372,3374,3389,3389,3389,3399,3434,3448,3463,3482,3487,3487,3505,3536,3552,3561,3575,3576,3576,3588,3603,3613,3622,3631,3632,3632,3636,3654,3662,3664,3675,3675,3675,3684,3695,3716,3739,3763,3763,3763,3783,3809,3820,3827
28,warmińsko-mazurskie,3859,3859,3860,3883,3920,3934,3934,3944,3945,3945,3973,3997,4011,4025,4032,4032,4033,4043,4062,4074,4086,4098,4098,4098,4112,4121,4128,4137,4144,4144,4144,4153,4165,4172,4177,4186,4188,4190,4210,4223,4227,4234,4249,4249,4249,4260,4282,4293,4309
30,wielkopolskie,8943,8943,8943,8992,9037,9111,9111,9149,9149,9149,9175,9238,9275,9310,9344,9345,9345,9385,9433,9461,9484,9499,9499,9499,9520,9545,9568,9596,9617,9617,9618,9641,9663,9736,9775,9789,9789,9789,9804,9830,9845,9850,9867,9867,9867,9894,9923,9947,9975
32,zachodniopomorskie,3785,3787,3787,3798,3833,3873,3880,3890,3895,3896,3905,3935,3961,3977,3996,3999,3999,4011,4039,4046,4060,4068,4073,4075,4081,4099,4106,4109,4120,4125,4125,4133,4139,4152,4160,4176,4179,4179,4181,4197,4214,4237,4254,4260,4260,4265,4277,4283,4301
XX,nieokreślono,87,87,87,87,87,86,86,86,86,86,86,86,86,85,85,85,85,85,86,87,87,87,87,87,86,86,87,87,87,87,87,88,89,89,89,89,89,89,90,90,90,91,90,90,90,90,90,92,92
PL,Polska,97559,97592,97601,98034,98666,99311,99428,99720,99742,99761,100254,100938,101419,101841,102270,102305,102309,102686,103062,103378,103626,103819,103844,103846,104097,104373,104636,104907,105138,105161,105194,105434,105753,106060,106306,106578,106597,106607,106894,107204,107466,107757,108089,108120,108137,108515,108887,109205,109509
