wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;16173;4.22;684;181;503;23241;7175;183295;99423;18737;79352;1334;t0000;2022-01-11
dolnoœl¹skie;boles³awiecki;23;2.55;3;0;3;55;17;378;224;31;191;2;t0201;2022-01-11
dolnoœl¹skie;dzier¿oniowski;43;4.28;3;0;3;47;18;437;257;51;203;3;t0202;2022-01-11
dolnoœl¹skie;g³ogowski;24;2.70;4;2;2;39;9;241;177;31;145;1;t0203;2022-01-11
dolnoœl¹skie;górowski;10;2.88;0;0;0;12;0;97;66;10;56;0;t0204;2022-01-11
dolnoœl¹skie;jaworski;5;1.00;3;3;0;9;9;185;86;6;80;0;t0205;2022-01-11
dolnoœl¹skie;jeleniogórski;14;2.21;1;0;1;31;17;258;87;16;71;0;t0206;2022-01-11
dolnoœl¹skie;kamiennogórski;9;2.09;0;0;0;12;2;117;72;9;63;0;t0207;2022-01-11
dolnoœl¹skie;k³odzki;45;2.86;4;0;4;80;16;654;216;51;165;0;t0208;2022-01-11
dolnoœl¹skie;legnicki;16;2.90;0;0;0;20;4;221;114;18;94;2;t0209;2022-01-11
dolnoœl¹skie;lubañski;27;4.99;2;2;0;30;3;239;100;32;65;3;t0210;2022-01-11
dolnoœl¹skie;lubiñski;41;3.86;0;0;0;59;13;525;247;47;196;4;t0211;2022-01-11
dolnoœl¹skie;lwówecki;6;1.31;0;0;0;37;0;119;61;8;53;0;t0212;2022-01-11
dolnoœl¹skie;milicki;10;2.71;0;0;0;27;8;301;48;11;37;0;t0213;2022-01-11
dolnoœl¹skie;oleœnicki;47;4.38;0;0;0;50;23;505;185;54;128;3;t0214;2022-01-11
dolnoœl¹skie;o³awski;40;5.21;1;1;0;42;6;456;165;44;119;2;t0215;2022-01-11
dolnoœl¹skie;polkowicki;23;3.65;0;0;0;22;7;299;116;26;88;2;t0216;2022-01-11
dolnoœl¹skie;strzeliñski;29;6.67;0;0;0;45;10;228;107;33;72;2;t0217;2022-01-11
dolnoœl¹skie;œredzki;31;5.60;0;0;0;39;11;404;112;33;77;2;t0218;2022-01-11
dolnoœl¹skie;œwidnicki;50;3.19;7;2;5;94;15;886;244;61;182;1;t0219;2022-01-11
dolnoœl¹skie;trzebnicki;34;3.98;4;4;0;56;11;499;195;38;156;1;t0220;2022-01-11
dolnoœl¹skie;wa³brzyski;16;2.89;0;0;0;34;9;191;117;18;99;0;t0221;2022-01-11
dolnoœl¹skie;wo³owski;32;6.85;0;0;0;32;3;233;116;32;84;0;t0222;2022-01-11
dolnoœl¹skie;wroc³awski;106;6.89;0;0;0;158;56;1101;530;130;395;5;t0223;2022-01-11
dolnoœl¹skie;z¹bkowicki;18;2.79;0;0;0;46;6;208;102;19;83;0;t0224;2022-01-11
dolnoœl¹skie;zgorzelecki;37;4.17;0;0;0;36;5;445;153;41;112;0;t0225;2022-01-11
dolnoœl¹skie;z³otoryjski;5;1.16;0;0;0;33;6;215;66;5;60;1;t0226;2022-01-11
dolnoœl¹skie;Jelenia Góra;21;2.67;6;0;6;58;26;392;128;30;97;1;t0261;2022-01-11
dolnoœl¹skie;Legnica;31;3.13;3;3;0;51;12;456;229;44;182;3;t0262;2022-01-11
dolnoœl¹skie;Wroc³aw;505;7.84;17;16;1;465;229;4163;2321;584;1699;38;t0264;2022-01-11
dolnoœl¹skie;Wa³brzych;36;3.25;0;0;0;45;15;556;285;41;244;0;t0265;2022-01-11
kujawsko-pomorskie;aleksandrowski;14;2.55;0;0;0;35;6;193;138;16;121;1;t0401;2022-01-11
kujawsko-pomorskie;brodnicki;14;1.77;2;0;2;35;11;325;165;16;144;5;t0402;2022-01-11
kujawsko-pomorskie;bydgoski;43;3.60;3;0;3;88;27;548;272;49;217;6;t0403;2022-01-11
kujawsko-pomorskie;che³miñski;14;2.70;1;0;1;40;8;202;93;16;76;1;t0404;2022-01-11
kujawsko-pomorskie;golubsko-dobrzyñski;20;4.45;0;0;0;49;10;154;103;21;80;2;t0405;2022-01-11
kujawsko-pomorskie;grudzi¹dzki;12;2.98;2;2;0;24;5;195;116;14;101;1;t0406;2022-01-11
kujawsko-pomorskie;inowroc³awski;74;4.65;1;0;1;140;18;699;371;82;282;7;t0407;2022-01-11
kujawsko-pomorskie;lipnowski;12;1.83;1;0;1;15;4;205;98;12;85;1;t0408;2022-01-11
kujawsko-pomorskie;mogileñski;10;2.20;0;0;0;21;8;226;80;11;68;1;t0409;2022-01-11
kujawsko-pomorskie;nakielski;11;1.28;0;0;0;42;16;355;128;13;115;0;t0410;2022-01-11
kujawsko-pomorskie;radziejowski;6;1.49;2;0;2;17;5;103;75;6;69;0;t0411;2022-01-11
