wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;12233;1240;13473;3.19;0.32;3.51;17;3;14;664;50738;294550;63895;14873;47834;1188;t0000;2022-02-13
dolnoœl¹skie;boles³awiecki;33;0;33;3.67;0;3.67;0;0;0;4;133;651;177;34;138;5;t0201;2022-02-13
dolnoœl¹skie;dzier¿oniowski;10;0;10;0.99;0;0.99;0;0;0;1;132;531;103;12;89;2;t0202;2022-02-13
dolnoœl¹skie;g³ogowski;38;4;42;4.28;0.45;4.73;0;0;0;0;94;642;178;44;132;2;t0203;2022-02-13
dolnoœl¹skie;górowski;6;0;6;1.73;0;1.73;0;0;0;0;37;224;31;6;25;0;t0204;2022-02-13
dolnoœl¹skie;jaworski;25;2;27;5.01;0.40;5.41;0;0;0;0;50;343;70;29;36;5;t0205;2022-02-13
dolnoœl¹skie;jeleniogórski;12;1;13;1.89;0.16;2.05;0;0;0;0;66;403;62;15;46;1;t0206;2022-02-13
dolnoœl¹skie;kamiennogórski;7;1;8;1.63;0.23;1.86;0;0;0;1;45;241;29;8;21;0;t0207;2022-02-13
dolnoœl¹skie;k³odzki;37;1;38;2.35;0.06;2.42;0;0;0;2;147;979;202;41;157;4;t0208;2022-02-13
dolnoœl¹skie;legnicki;20;2;22;3.62;0.36;3.98;0;0;0;0;40;480;61;23;37;1;t0209;2022-02-13
dolnoœl¹skie;lubañski;12;0;12;2.22;0;2.22;0;0;0;2;50;483;54;12;42;0;t0210;2022-02-13
dolnoœl¹skie;lubiñski;26;5;31;2.45;0.47;2.92;0;0;0;2;115;929;149;34;113;2;t0211;2022-02-13
dolnoœl¹skie;lwówecki;9;0;9;1.97;0;1.97;0;0;0;2;78;339;74;12;59;3;t0212;2022-02-13
dolnoœl¹skie;milicki;16;0;16;4.33;0;4.33;0;0;0;1;68;352;74;20;52;2;t0213;2022-02-13
dolnoœl¹skie;oleœnicki;33;3;36;3.07;0.28;3.35;0;0;0;0;57;690;174;43;128;3;t0214;2022-02-13
dolnoœl¹skie;o³awski;21;4;25;2.73;0.52;3.25;0;0;0;0;86;774;121;29;91;1;t0215;2022-02-13
dolnoœl¹skie;polkowicki;18;0;18;2.85;0;2.85;0;0;0;0;71;690;86;19;62;5;t0216;2022-02-13
dolnoœl¹skie;strzeliñski;2;2;4;0.46;0.46;0.92;0;0;0;1;44;312;35;8;27;0;t0217;2022-02-13
dolnoœl¹skie;œredzki;14;4;18;2.53;0.72;3.25;0;0;0;0;97;553;76;18;57;1;t0218;2022-02-13
dolnoœl¹skie;œwidnicki;26;3;29;1.66;0.19;1.85;0;0;0;0;97;1367;137;32;100;5;t0219;2022-02-13
dolnoœl¹skie;trzebnicki;33;3;36;3.86;0.35;4.22;0;0;0;1;115;742;149;37;111;1;t0220;2022-02-13
dolnoœl¹skie;wa³brzyski;12;1;13;2.17;0.18;2.35;0;0;0;0;58;343;59;14;43;2;t0221;2022-02-13
dolnoœl¹skie;wo³owski;19;1;20;4.07;0.21;4.28;0;0;0;1;56;371;89;21;65;3;t0222;2022-02-13
dolnoœl¹skie;wroc³awski;63;6;69;4.09;0.39;4.48;0;0;0;0;262;1408;345;75;264;6;t0223;2022-02-13
dolnoœl¹skie;z¹bkowicki;20;3;23;3.10;0.47;3.57;0;0;0;1;130;437;68;24;44;0;t0224;2022-02-13
dolnoœl¹skie;zgorzelecki;21;3;24;2.37;0.34;2.70;0;0;0;1;51;864;79;27;50;2;t0225;2022-02-13
dolnoœl¹skie;z³otoryjski;2;0;2;0.46;0;0.46;0;0;0;0;43;363;26;2;24;0;t0226;2022-02-13
dolnoœl¹skie;Jelenia Góra;22;0;22;2.79;0;2.79;0;0;0;0;78;427;132;26;105;1;t0261;2022-02-13
dolnoœl¹skie;Legnica;16;2;18;1.61;0.20;1.82;0;0;0;1;82;919;90;18;71;1;t0262;2022-02-13
dolnoœl¹skie;Wroc³aw;309;31;340;4.80;0.48;5.28;0;0;0;7;1122;4327;1303;365;910;28;t0264;2022-02-13
dolnoœl¹skie;Wa³brzych;27;1;28;2.44;0.09;2.53;0;0;0;0;108;683;129;29;96;4;t0265;2022-02-13
kujawsko-pomorskie;aleksandrowski;17;1;18;3.09;0.18;3.27;2;0;2;0;68;463;81;18;61;2;t0401;2022-02-13
kujawsko-pomorskie;brodnicki;27;3;30;3.41;0.38;3.79;0;0;0;4;73;556;127;31;95;1;t0402;2022-02-13
kujawsko-pomorskie;bydgoski;97;10;107;8.12;0.84;8.96;0;0;0;5;287;1683;323;115;202;6;t0403;2022-02-13
kujawsko-pomorskie;che³miñski;25;4;29;4.82;0.77;5.60;0;0;0;1;67;479;111;35;73;3;t0404;2022-02-13
kujawsko-pomorskie;golubsko-dobrzyñski;20;1;21;4.45;0.22;4.67;0;0;0;5;54;277;76;24;51;1;t0405;2022-02-13
kujawsko-pomorskie;grudzi¹dzki;15;1;16;3.73;0.25;3.98;0;0;0;1;44;327;64;17;45;2;t0406;2022-02-13
kujawsko-pomorskie;inowroc³awski;46;12;58;2.89;0.75;3.64;0;0;0;1;226;1639;279;103;169;7;t0407;2022-02-13
kujawsko-pomorskie;lipnowski;12;2;14;1.83;0.30;2.13;0;0;0;3;38;463;77;14;61;2;t0408;2022-02-13
kujawsko-pomorskie;mogileñski;16;0;16;3.52;0;3.52;0;0;0;0;44;373;59;18;40;1;t0409;2022-02-13
kujawsko-pomorskie;nakielski;38;4;42;4.41;0.46;4.87;0;0;0;0;175;1020;138;44;85;9;t0410;2022-02-13
kujawsko-pomorskie;radziejowski;12;1;13;2.98;0.25;3.23;0;0;0;4;56;337;50;14;35;1;t0411;2022-02-13
kujawsko-pomorskie;rypiñski;42;3;45;9.68;0.69;10.37;0;0;0;0;58;369;137;48;86;3;t0412;2022-02-13
kujawsko-pomorskie;sêpoleñski;41;4;45;10.02;0.98;11.00;0;0;0;0;53;335;114;45;65;4;t0413;2022-02-13
kujawsko-pomorskie;œwiecki;35;3;38;3.54;0.30;3.84;0;0;0;1;126;1064;177;46;128;3;t0414;2022-02-13
kujawsko-pomorskie;toruñski;99;18;117;9.09;1.65;10.74;1;0;1;2;176;1144;353;141;206;6;t0415;2022-02-13
kujawsko-pomorskie;tucholski;13;0;13;2.69;0;2.69;0;0;0;2;55;344;107;31;71;5;t0416;2022-02-13
kujawsko-pomorskie;w¹brzeski;14;0;14;4.10;0;4.10;0;0;0;1;27;266;53;14;38;1;t0417;2022-02-13
kujawsko-pomorskie;w³oc³awski;14;2;16;1.63;0.23;1.86;0;0;0;1;58;648;69;18;50;1;t0418;2022-02-13
kujawsko-pomorskie;¿niñski;47;12;59;6.71;1.71;8.42;0;0;0;1;137;771;167;64;100;3;t0419;2022-02-13
kujawsko-pomorskie;Bydgoszcz;396;55;451;11.42;1.59;13.01;0;0;0;30;835;3823;1222;485;725;12;t0461;2022-02-13
