TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-23T10:30:00,63266,936,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-23T10:30:00,49675,511,,53.1648,18.4834
06,lubelskie,2020-11-23T10:30:00,44881,837,,51.2494,23.1011
08,lubuskie,2020-11-23T10:30:00,19107,286,1,52.2275,15.2559
10,łódzkie,2020-11-23T10:30:00,59414,764,,51.4635,19.1727
12,małopolskie,2020-11-23T10:30:00,91340,1661,,49.7225,20.2503
14,mazowieckie,2020-11-23T10:30:00,107823,1722,,51.8927,21.0022
16,opolskie,2020-11-23T10:30:00,25936,523,,50.8004,17.938
18,podkarpackie,2020-11-23T10:30:00,47606,1041,,50.0575,22.0896
20,podlaskie,2020-11-23T10:30:00,23606,390,,53.0697,22.9675
22,pomorskie,2020-11-23T10:30:00,49683,692,,54.2944,18.1531
24,śląskie,2020-11-23T10:30:00,118593,1889,,50.5717,19.322
26,świętokrzyskie,2020-11-23T10:30:00,27553,496,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-23T10:30:00,26667,349,,53.8671,20.7028
30,wielkopolskie,2020-11-23T10:30:00,88839,1312,,52.28,17.3523
32,zachodniopomorskie,2020-11-23T10:30:00,32344,365,,53.4658,15.1823
,nieokreślono,2020-11-23T10:00:00,,,438867,52.0693,19.4803
