TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-04-14T10:03:00,713,25,,51.134,16.8842
04,kujawsko-pomorskie,2020-04-14T10:03:00,345,8,,53.1648,18.4834
06,lubelskie,2020-04-14T10:03:00,245,10,,51.2494,23.1011
08,lubuskie,2020-04-14T10:03:00,79,,1,52.2275,15.2559
10,łódzkie,2020-04-13T23:59:59,551,8,,51.4635,19.1727
12,małopolskie,2020-04-14T10:03:00,534,13,,49.7225,20.2503
14,mazowieckie,2020-04-13T23:59:59,1688,69,,51.8927,21.0022
16,opolskie,2020-04-14T10:03:00,187,6,,50.8004,17.938
18,podkarpackie,2020-04-14T10:03:00,234,13,,50.0575,22.0896
20,podlaskie,2020-04-14T10:03:00,246,1,,53.0697,22.9675
22,pomorskie,2020-04-13T23:59:59,175,1,,54.2944,18.1531
24,śląskie,2020-04-14T10:03:00,902,49,,50.5717,19.322
26,świętokrzyskie,2020-04-14T10:03:00,142,4,,50.6261,20.9406
28,warmińsko-mazurskie,2020-04-13T23:59:59,122,1,,53.8671,20.7028
30,wielkopolskie,2020-04-14T10:03:00,677,41,,52.28,17.3523
32,zachodniopomorskie,2020-04-14T10:03:00,209,2,,53.4658,15.1823
XX,nieokreślono,2020-04-14T10:03:00,,,617,52.0693,19.4803
