TERYT,Województwo,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21
02,dolnośląskie,,,1,1,2,3,4,4,7,8,13,15,27,38,40,53,58,66,79,101,134,150,165,193,214,234,258,274,326,338,400,407,468,488,527,539,568,637,660,697,709,723,764,819,893,949,1044,1077,1118,1144,1212,1235,1278,1341,1412,1461,1520,1563,1580,1620,1645,1723,1769,1789,1825,1870,1903,2002,2024,2056,2100,2125,2141,2160,2166,2226,2257,2276,2295
04,kujawsko-pomorskie,,,,,,,,,,,,,,8,8,11,14,18,18,21,22,27,31,33,37,47,72,76,84,157,199,224,241,245,264,277,280,290,313,336,345,352,359,367,387,398,406,421,438,452,460,471,474,478,483,518,537,544,550,554,557,557,561,561,566,571,572,574,577,577,577,578,581,582,582,582,583,584,587
06,lubelskie,,,,,,,1,2,6,7,15,17,18,22,22,25,28,31,39,48,54,60,74,78,87,105,114,132,133,151,158,165,174,181,192,200,205,222,225,234,240,245,270,279,290,293,308,311,325,332,336,342,346,351,353,356,359,360,365,367,374,374,376,380,381,384,386,388,392,396,398,400,401,401,402,409,409,411,417
08,lubuskie,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,9,9,9,11,16,21,23,30,31,33,33,36,42,47,48,50,56,59,62,62,66,69,74,76,78,78,79,79,81,81,81,81,82,84,85,85,85,85,87,87,87,87,87,87,87,88,90,90,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,95
10,łódzkie,,,,,,,,1,2,5,15,19,31,42,42,48,57,91,106,111,129,144,158,168,182,190,202,208,221,236,248,259,326,340,358,400,432,463,492,529,551,567,572,590,607,640,660,682,695,765,781,813,836,855,890,904,936,954,972,1006,1049,1068,1088,1115,1157,1150,1166,1178,1188,1201,1212,1219,1227,1234,1240,1251,1257,1273,1279
12,małopolskie,,,,,,1,1,1,1,1,1,1,2,5,6,7,14,16,24,33,49,56,69,93,112,150,174,192,209,230,262,308,327,349,371,399,433,453,486,505,519,537,561,575,596,630,646,679,707,734,766,788,812,821,841,852,876,897,913,934,944,976,997,1009,1019,1033,1043,1047,1071,1074,1084,1108,1117,1124,1128,1133,1148,1150,1165
14,mazowieckie,,,,,2,2,3,4,6,11,16,22,35,38,66,82,107,127,147,175,212,251,291,318,421,461,487,544,612,754,808,808,967,1065,1247,1314,1424,1501,1629,1664,1688,1715,1792,1846,1883,1936,1992,2030,2059,2098,2166,2206,2302,2348,2376,2391,2427,2452,2452,2477,2508,2553,2631,2673,2709,2731,2765,2791,2808,2829,2880,2902,2930,2949,2970,3003,3040,3082,3128
16,opolskie,,,,,,,,1,2,2,4,4,6,8,9,10,10,10,14,19,21,23,26,28,31,43,54,70,75,78,90,90,94,101,107,116,125,130,143,151,171,206,219,230,254,271,276,292,298,324,330,345,352,363,373,378,390,394,398,407,422,435,440,450,459,475,478,490,495,498,502,510,527,535,544,551,555,568,576
18,podkarpackie,,,,,,,,1,3,6,7,8,11,11,14,17,19,25,29,30,37,43,53,61,71,76,80,95,104,111,125,136,149,156,168,180,194,209,220,221,225,234,243,246,251,259,263,266,270,276,279,288,311,313,316,325,328,329,337,341,350,363,366,366,368,370,370,371,371,371,371,373,373,374,374,374,374,374,375
20,podlaskie,,,,,,,,,,,,,,1,2,1,3,5,6,7,7,10,13,17,26,28,36,36,47,59,74,82,91,109,127,149,168,189,195,222,238,256,259,278,291,316,321,327,332,335,341,344,358,361,365,367,367,375,375,377,378,378,379,380,381,383,383,384,384,385,385,386,387,387,388,389,398,405,405
22,pomorskie,,,,,,,,,,,2,2,2,8,9,9,10,14,17,21,22,22,28,32,36,45,48,54,60,70,82,104,117,125,135,143,153,157,163,171,175,175,179,181,185,207,209,215,219,231,243,257,296,346,357,394,424,428,434,440,444,444,451,460,468,477,478,481,485,489,491,492,493,500,502,502,503,508,513
24,śląskie,,,,,2,5,7,8,11,12,12,14,18,24,30,42,46,56,66,77,87,107,127,141,165,195,209,264,272,301,431,496,537,562,601,644,695,729,781,846,879,943,988,1070,1219,1273,1443,1514,1568,1614,1649,1746,1813,1887,1929,2023,2182,2239,2380,2446,2576,2656,2790,2947,3063,3242,3395,3566,3779,4271,4399,4701,4994,5159,5339,5544,5807,6082,6333
26,świętokrzyskie,,,,,,,,,,,2,3,3,3,4,5,6,7,7,8,8,14,15,22,27,34,37,49,55,62,79,81,93,103,120,127,129,130,136,141,141,154,170,175,193,203,210,227,238,247,248,254,255,258,261,264,266,270,270,271,278,282,300,300,303,312,321,325,325,328,337,337,340,341,341,352,353,357,361
28,warmińsko-mazurskie,,,1,2,2,2,2,4,4,4,4,5,5,7,11,12,17,20,22,25,29,33,39,44,46,56,57,58,61,67,75,78,80,83,87,92,95,110,111,122,122,122,125,129,139,139,142,143,145,145,145,146,146,146,146,146,146,148,148,148,148,150,154,152,156,157,160,162,162,164,168,169,170,170,170,170,175,175,174
30,wielkopolskie,,,,,,1,1,2,5,6,7,7,11,13,13,15,18,31,37,41,42,57,69,90,99,108,132,148,169,195,213,233,273,327,349,394,431,477,535,564,650,683,785,829,880,898,1020,1050,1081,1099,1166,1236,1266,1307,1343,1376,1415,1441,1443,1494,1518,1529,1598,1616,1640,1655,1670,1672,1699,1710,1722,1735,1752,1757,1797,1810,1815,1899,1925
32,zachodniopomorskie,,,2,2,2,2,2,2,3,5,5,6,6,8,8,9,9,10,12,16,27,31,33,40,51,57,59,69,79,89,89,100,106,117,133,165,174,184,191,193,203,211,217,223,230,249,266,277,279,288,304,336,343,355,370,376,380,396,401,406,414,428,441,452,460,464,469,473,474,480,486,488,491,492,494,497,502,503,515
PL,Polska,1,1,5,6,11,17,22,31,51,68,104,125,177,238,287,355,425,536,634,749,901,1051,1221,1389,1638,1862,2055,2311,2554,2946,3383,3627,4102,4413,4848,5205,5575,5955,6356,6674,6934,7202,7582,7918,8379,8742,9287,9593,9856,10169,10511,10892,11273,11617,11902,12218,12640,12877,13105,13375,13693,14006,14431,14740,15047,15366,15651,15996,16326,16921,17204,17615,18016,18257,18529,18885,19268,19739,20143
