TERYT,Województwo,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08
02,dolnośląskie,,1,,,,1,,,,,,,,3,-1,,,,,,,2,,,4,3,1,1,3,2,2,1,1,1,,3,2,,,3,,3,,1,3,1,,3,3,1,,1,3,1,4,,2,7,1,,5,6,1,3,7,,,2,2,1,,2,,,2,3,,1,,2,,1,,7,,5,,,3,2,2,,,1,,1,3,,4,2,1,,,1,,1,1,,,,4,,6,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,3,,,,,,,1,,1,1,,,1,,,1,,,,,,1,,,,,1,2,2,,,,,2,,,,,,,,,1,,2,,1,,,,1,,,,,,,,3,,,1,3,1,1,2,,,,1,7,3,1,1,,2,,4,12,2,2,1,12,7,11,6,15,1,1,10,11,25,12,14,9,1,26,30,42,39,16,6,11,27,54,14,29,47,11,8,33,39,40,44,47,13,5,51,37,51,65,30,11,5,57,54,41,42,22,8,2,37
04,kujawsko-pomorskie,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,1,1,,,,2,3,1,,3,,1,,3,,4,2,,,1,1,,,1,,1,,,1,1,,,,2,5,1,2,,1,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,2,,,,2,,,3,2,2,,1,,,1,4,,,2,,,1,8,2,6,4,2,2,2,6,3,3,1,2,,,7,2,21,4,1,3,,9,6,4,9,2,,4,11,9,4,6,6,26,16,20,10,45,32,9,3,18,19,35,13,33,7,1,17,35,24,30,29,14,4,40,32,27,12,14,11,6,19
06,lubelskie,,,1,,,,,,,,,,1,,,,1,,1,,1,,1,,,1,,1,,1,1,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,1,,1,1,1,,1,,,,,1,1,1,,1,,1,2,,,,1,1,2,6,,2,4,3,4,1,5,3,5,3,3,4,7,11,9,7,7,5,9,7,9,7,10,3,1,22,19,7,28,8,6,11,32,24,39,33,19,15,15,27,31,8,32,43,19,22,37,32,45,43,27,16,8,52,30,37,37,25,13,36,49,44,34,48,15,7,17
08,lubuskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,3,1,,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,1,3,,3,3,,1,2,1,1,2,5,1,1,3,2,12,3,5,2,1,,22,9,19,20,7,4,3,10,14,6,4,4,1,,16,32,14,16,6,6,14,8,7,27,20,6,,4,8,12,15,16,,,15
10,łódzkie,,,,,,,,,,,,,,,,,,,,,1,,2,,,,2,,2,,,,,,1,,,2,,,,2,7,1,1,,,2,4,4,3,,,,1,1,3,1,,,,4,1,,1,1,1,,1,2,,,7,,,3,2,,1,2,,,5,2,1,2,3,,3,4,7,8,,6,,,6,4,13,3,,7,,5,3,7,5,1,,,2,1,5,4,2,1,,2,4,2,2,1,,,2,,1,2,,,1,3,3,2,,2,,,1,2,,,,1,,,3,2,2,1,,,2,1,,5,,,,,1,1,,1,,3,2,2,2,,,,,1,1,1,,1,,1,1,,2,1,1,,,3,2,3,1,2,,,,6,3,7,3,,,2,,1,2,3,,,2,9,3,5,2,,2,,6,6,3,2,1,,5,4,10,12,11,3,,10,13,13,4,13,5,2,8,11,29,10,20,8,8,2,11,19,13,26,3,8,11,18,32,41,14,17,26,39,60,37,43,60,37,10,21,31,41,48,44,7,8,35
12,małopolskie,,,,,,,,,,,,,,,,,,1,,,,3,1,,2,,1,,,1,1,1,1,1,2,,1,,1,2,1,1,2,2,2,,2,,1,,,1,,,1,,1,,1,1,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,2,,,,,1,2,1,1,,7,3,,6,,1,3,2,3,,2,,,2,3,2,2,6,4,,2,1,3,3,,1,3,6,3,4,2,,,3,5,3,3,7,,,3,1,,3,,1,4,4,,4,1,,2,2,4,4,1,1,4,1,2,3,1,2,1,2,4,,10,4,12,4,4,2,1,10,19,11,24,16,4,8,25,14,33,18,21,1,4,21,43,35,48,36,17,7,32,61,36,77,27,35,9,36,50,28,65,83,32,5,39,73,79,77,90,38,33,64,86,40,43,42,9,2,67,42,50,41,35,12,,50
14,mazowieckie,,,,,,,,,,,1,,,,2,,1,,3,1,3,3,,,6,3,2,12,5,,12,16,1,6,8,12,4,7,1,8,10,6,10,18,11,2,8,13,3,8,,1,,4,3,1,2,2,3,,,3,3,2,,1,1,2,3,5,3,2,,,6,3,,1,5,2,,5,6,4,,2,4,,1,-1,9,,3,,1,2,3,5,2,,4,,,4,6,,2,1,-1,1,3,9,,3,2,2,,,2,2,1,1,,1,,1,5,1,3,2,,4,1,,,,1,,,3,1,2,,,,,7,3,1,,1,,1,1,,,,1,,,2,,2,2,2,,1,2,1,,2,1,,4,,2,,,1,,4,1,1,1,2,1,1,1,1,,3,2,1,,,4,1,1,4,,1,,4,1,2,2,3,1,5,4,13,3,9,1,3,1,11,13,10,5,8,,4,9,15,16,20,6,1,13,22,35,23,31,26,18,21,38,38,43,56,52,37,31,42,50,40,69,58,19,30,69,76,60,53,51,7,51,94,74,81,60,57,15,16,71,75,85,45,23,18,38
16,opolskie,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,2,1,,,1,,,2,1,3,,1,,1,,2,4,2,1,2,1,1,,,,1,1,,1,1,1,,1,1,,1,2,1,,,,2,2,,1,,1,,2,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,2,,1,3,1,,,1,,,1,1,1,1,2,1,,1,,,,1,,,3,6,3,1,3,4,,4,1,5,2,2,,1,8,7,9,1,11,10,,10,7,13,11,6,4,,14,10,19,19,14,1,1,26,33,10,21,27,8,4,24,18,19,15,14,11,2,24,39,23,19,18,3,,20,39,27,14,23,8,1,18
18,podkarpackie,,,,,1,,,,,,,,,,,,,,2,,,1,,,1,1,1,2,1,,1,,2,,1,1,,,1,,,,,,,,2,1,4,,,,1,,,1,2,,,1,1,,,1,1,,,3,,,,,1,,,,,,,,,,,1,,,1,,1,,,,,,2,,,,2,3,1,1,,1,2,,,,,,,,1,,,1,3,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,,,,,2,1,4,1,1,1,1,1,,1,1,1,,,,1,1,1,1,,,,,2,,1,,1,,2,2,,2,1,1,2,1,,,1,3,3,1,2,1,4,,3,,3,2,5,,1,3,,3,2,4,1,2,3,7,7,7,8,,3,4,8,7,14,8,17,3,8,4,14,15,10,14,13,14,7,5,22,26,14,26,22,13,12,24,27,27,27,19,11,18,15,25,26,40,19,12,23,59,51,53,46,33,13,13,36,69,33,51,28,7,20,31,29,29,31,14,3,21
20,podlaskie,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,-1,,,,,,,1,,,,,,,,1,,,,,,,1,1,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,1,,,2,1,,,,,,,,,,,,,,2,,,1,1,1,,,,1,,,,1,,,,1,,,1,,1,1,,,2,,,,,,,,1,,,,1,1,,,,,,,,1,,,,3,1,,,1,,1,,,1,1,,1,1,,2,1,1,,1,,,,3,8,2,2,,2,,4,2,7,4,,,,5,3,4,6,,,1,2,11,5,12,,10,2,16,5,15,10,,16,15,18,12,9,16,5,5,6,23,22,22,12,17,3,19,13,24,25,15,11,2,5,5,26,11,24,24,5,2
