TERYT,Województwo,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03
02,dolnośląskie,,1,1,1,1,2,2,2,2,2,2,2,2,5,4,4,4,4,4,4,4,6,6,6,10,13,14,15,18,20,22,23,24,25,25,28,30,30,30,33,33,36,36,37,40,41,41,44,47,48,48,49,52,53,57,57,59,66,67,67,72,78,79,82,89,89,89,91,93,94,94,96,96,96,98,101,101,102,102,104,104,105,105,112,112,117,117,117,120,122,124,124,124,125,125,126,129,129,133,135,136,136,136,137,137,138,139,139,139,139,143,143,149,149,149,149,149,149,150,150,150,150,150,150,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,155,155,155,155,155,155,155,156,156,157,158,158,158,159,159,159,160,160,160,160,160,160,161,161,161,161,161,162,164,166,166,166,166,166,168,168,168
04,kujawsko-pomorskie,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,6,7,7,7,7,9,12,13,13,16,16,17,17,20,20,24,26,26,26,27,28,28,28,29,29,30,30,30,31,32,32,32,32,34,39,40,42,42,43,44,44,44,44,45,45,45,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,52,53,53,53,54,54,54,54,54,54,54
06,lubelskie,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,5,6,6,6,7,7,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26
08,lubuskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,6,7,7,8,8,8,9,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,15
10,łódzkie,,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,3,5,5,7,7,7,7,7,7,8,8,8,10,10,10,10,12,19,20,21,21,21,23,27,31,34,34,34,34,35,36,39,40,40,40,40,44,45,45,46,47,48,48,49,51,51,51,58,58,58,61,63,63,64,66,66,66,71,73,74,76,79,79,82,86,93,101,101,107,107,107,113,117,130,133,133,140,140,145,148,155,160,161,161,161,163,164,169,173,175,176,176,178,182,184,186,187,187,187,189,189,190,192,192,192,193,196,199,201,201,203,203,203,204,206,206,206,206,207,207,207,210,212,214,215,215,215,217,218,218,223,223,223,223,223,224,225,225,226,226,229,231,233,235,235,235,235,235,236,237,238
12,małopolskie,,,,,,,,,,,,,,,,,,1,1,1,1,4,5,5,7,7,8,8,8,9,10,11,12,13,15,15,16,16,17,19,20,21,23,25,27,27,29,29,30,30,30,31,31,31,32,32,33,33,34,35,35,35,35,35,35,37,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,46,47,47,47,47,47,49,49,49,49,49,50,52,53,54,54,61,64,64,70,70,71,74,76,79,79,81,81,81,83,86,88,90,96,100,100,102,103,106,109,109,110,113,119,122,126,128,128,128,131,136,139
14,mazowieckie,,,,,,,,,,,1,1,1,1,3,3,4,4,7,8,11,14,14,14,20,23,25,37,42,42,54,70,71,77,85,97,101,108,109,117,127,133,143,161,172,174,182,195,198,206,206,207,207,211,214,215,217,219,222,222,222,225,228,230,230,231,232,234,237,242,245,247,247,247,253,256,256,257,262,264,264,269,275,279,279,281,285,285,286,285,294,294,297,297,298,300,303,308,310,310,314,314,314,318,324,324,326,327,326,327,330,339,339,342,344,346,346,346,348,350,351,352,352,353,353,354,359,360,363,365,365,369,370,370,370,370,371,371,371,374,375,377,377,377,377,377,384,387,388,388,389,389,390,391,391,391,391,392,392,392,394,394,396,398,400,400,401,403,404,404,406,407,407,411,411,413
16,opolskie,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,5,6,6,6,7,7,7,9,10,13,13,14,14,15,15,17,21,23,24,26,27,28,28,28,28,29,30,30,31,32,33,33,34,35,35,36,38,39,39,39,39,41,43,43,44,44,45,45,47,47,47,47,47,47,47,48,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,56,57,57,57,57,57,58,58,58,58,58,58,58,58,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,61,62,63,63
18,podkarpackie,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,5,6,7,9,10,10,11,11,13,13,14,15,15,15,16,16,16,16,16,16,16,16,18,19,23,23,23,23,24,24,24,25,27,27,27,28,29,29,29,30,31,31,31,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,36,36,36,37,37,38,38,38,38,38,38,40,40,40,40,42,45,46,47,47,48,50,50,50,50,50,50,50,50,51,51,51,52,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,57,57,57,58,59,59,60,60,60,60,60,60,62,63,67,68,69,70,71,72,72,73,74,75,75,75,75,76,77,78,79,79,79,79,79,81,81,82,82,83,83,85,87
20,podlaskie,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,5,5,5,6,6,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,13,13,13,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,19,20,21,21,21,21,22,22,22,22,23,23,23,23,24,24,24,25,25,26,27,27,27,29,29,29,29,29,29,29,29,30,30,30,30,31,32,32
