TERYT,Województwo,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26
02,dolnośląskie,,,1,,1,1,1,,3,1,5,2,12,11,2,13,5,8,13,22,33,16,15
04,kujawsko-pomorskie,,,,,,,,,,,,,,8,,3,3,4,,3,1,5,4
06,lubelskie,,,,,,,1,1,4,1,8,2,1,4,,3,3,3,8,9,6,6,14
08,lubuskie,1,,,,,,,,,,,1,,,1,6,,,2,5,5,2,7
10,łódzkie,,,,,,,,1,1,3,10,4,12,11,,6,9,34,15,5,18,15,14
12,małopolskie,,,,,,1,,,,,,,1,3,1,1,7,2,8,9,16,7,13
14,mazowieckie,,,,,2,,1,1,2,5,5,6,13,3,28,16,25,20,20,28,37,39,40
16,opolskie,,,,,,,,1,1,,2,,2,2,1,1,,,4,5,2,2,3
18,podkarpackie,,,,,,,,1,2,3,1,1,3,,3,3,2,6,4,1,7,6,10
20,podlaskie,,,,,,,,,,,,,,1,1,-1,2,2,1,1,,3,3
22,pomorskie,,,,,,,,,,,2,,,6,1,,1,4,3,4,1,,6
24,śląskie,,,,,2,3,2,1,3,1,,2,4,6,6,12,4,10,10,11,10,20,20
26,świętokrzyskie,,,,,,,,,,,2,1,,,1,1,1,1,,1,,6,1
28,warmińsko-mazurskie,,,1,1,,,,2,,,,1,,2,4,1,5,3,2,3,4,4,6
30,wielkopolskie,,,,,,1,,1,3,1,1,,4,2,,2,3,13,6,4,1,15,12
32,zachodniopomorskie,,,2,,,,,,1,2,,1,,2,,1,,1,2,4,11,4,2
PL,Polska,1,,4,1,5,6,5,9,20,17,36,21,52,61,49,68,70,111,98,115,152,150,170
