TERYT,Województwo,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
02,dolnośląskie,,,1,1,2,3,4,4,7,8,13,15,27,38,40,53,58,66,79,101,134,150,165,193,214,234,258,274,326,338,400
04,kujawsko-pomorskie,,,,,,,,,,,,,,8,8,11,14,18,18,21,22,27,31,33,37,47,72,76,84,157,199
06,lubelskie,,,,,,,1,2,6,7,15,17,18,22,22,25,28,31,39,48,54,60,74,78,87,105,114,132,133,151,158
08,lubuskie,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,9,9,9,11,16,21,23,30,31,33,33,36,42,47,48,50
10,łódzkie,,,,,,,,1,2,5,15,19,31,42,42,48,57,91,106,111,129,144,158,168,182,190,202,208,221,236,248
12,małopolskie,,,,,,1,1,1,1,1,1,1,2,5,6,7,14,16,24,33,49,56,69,93,112,150,174,192,209,230,262
14,mazowieckie,,,,,2,2,3,4,6,11,16,22,35,38,66,82,107,127,147,175,212,251,291,318,421,461,487,544,612,754,808
16,opolskie,,,,,,,,1,2,2,4,4,6,8,9,10,10,10,14,19,21,23,26,28,31,43,54,70,75,78,90
18,podkarpackie,,,,,,,,1,3,6,7,8,11,11,14,17,19,25,29,30,37,43,53,61,71,76,80,95,104,111,125
20,podlaskie,,,,,,,,,,,,,,1,2,1,3,5,6,7,7,10,13,17,26,28,36,36,47,59,74
22,pomorskie,,,,,,,,,,,2,2,2,8,9,9,10,14,17,21,22,22,28,32,36,45,48,54,60,70,82
24,śląskie,,,,,2,5,7,8,11,12,12,14,18,24,30,42,46,56,66,77,87,107,127,141,165,195,209,264,272,301,431
26,świętokrzyskie,,,,,,,,,,,2,3,3,3,4,5,6,7,7,8,8,14,15,22,27,34,37,49,55,62,79
28,warmińsko-mazurskie,,,1,2,2,2,2,4,4,4,4,5,5,7,11,12,17,20,22,25,29,33,39,44,46,56,57,58,61,67,75
30,wielkopolskie,,,,,,1,1,2,5,6,7,7,11,13,13,15,18,31,37,41,42,57,69,90,99,108,132,148,169,195,213
32,zachodniopomorskie,,,2,2,2,2,2,2,3,5,5,6,6,8,8,9,9,10,12,16,27,31,33,40,51,57,59,69,79,89,89
PL,Polska,1,1,5,6,11,17,22,31,51,68,104,125,177,238,287,355,425,536,634,749,901,1051,1221,1389,1638,1862,2055,2311,2554,2946,3383
