TERYT,Województwo,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04
02,dolnośląskie,,1,,,,1,,,,,,,,3,-1,,,,,,,2,,
04,kujawsko-pomorskie,,,,,,,,,,,,,,,,,,,,,,,1,
06,lubelskie,,,1,,,,,,,,,,1,,,,1,,1,,1,,1,
08,lubuskie,,,,,,,,,,,,,,,,,,,,,,,,
10,łódzkie,,,,,,,,,,,,,,,,,,,,,1,,2,
12,małopolskie,,,,,,,,,,,,,,,,,,1,,,,3,1,
14,mazowieckie,,,,,,,,,,,1,,,,2,,1,,3,1,3,3,,
16,opolskie,,,,,,,,,,,,,,,,,,,,,,1,,
18,podkarpackie,,,,,1,,,,,,,,,,,,,,2,,,1,,
20,podlaskie,,,,,,,,,,,,,,,,,,,,,,,,
22,pomorskie,,,,,,,,,,,,,,,,,,,,,,,,
24,śląskie,,,,,,,,,,,,1,1,,,,,3,2,1,2,1,5,6
26,świętokrzyskie,,,,,,,,,,,,,,1,,,,,,,,,,
28,warmińsko-mazurskie,,,,,,,,,,,,,,,,,,,,,,,,1
30,wielkopolskie,1,,,,,,,,,,1,,,,,,,,1,,3,2,4,1
32,zachodniopomorskie,,,,,,,,,,,,,,,1,,,,,,,1,,
PL,Polska,1,1,1,0,1,1,0,0,0,0,2,1,2,4,2,0,2,4,9,2,10,14,14,8
