TERYT,Województwo,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
02,dolnośląskie,,1,1,1,1,2,2,2,2,2,2,2,2,5,4,4,4,4,4,4,4,6,6
04,kujawsko-pomorskie,,,,,,,,,,,,,,,,,,,,,,,1
06,lubelskie,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,5,6
08,lubuskie,,,,,,,,,,,,,,,,,,,,,,,
10,łódzkie,,,,,,,,,,,,,,,,,,,,,1,1,3
12,małopolskie,,,,,,,,,,,,,,,,,,1,1,1,1,4,5
14,mazowieckie,,,,,,,,,,,1,1,1,1,3,3,4,4,7,8,11,14,14
16,opolskie,,,,,,,,,,,,,,,,,,,,,,1,1
18,podkarpackie,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4
20,podlaskie,,,,,,,,,,,,,,,,,,,,,,,
22,pomorskie,,,,,,,,,,,,,,,,,,,,,,,
24,śląskie,,,,,,,,,,,,1,2,2,2,2,2,5,7,8,10,11,16
26,świętokrzyskie,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
28,warmińsko-mazurskie,,,,,,,,,,,,,,,,,,,,,,,
30,wielkopolskie,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,6,8,12
32,zachodniopomorskie,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2
PL,Polska,1,2,3,3,4,5,5,5,5,5,7,8,10,14,16,16,18,22,31,33,43,57,71
