wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;12955;3,38;565;125;440;t0000
dolnoœl¹skie;boles³awiecki;32;3,55;;;;t0201
dolnoœl¹skie;dzier¿oniowski;13;1,29;2;;2;t0202
dolnoœl¹skie;g³ogowski;21;2,36;2;;2;t0203
dolnoœl¹skie;górowski;15;4,32;;;;t0204
dolnoœl¹skie;jaworski;11;2,20;;;;t0205
dolnoœl¹skie;jeleniogórski;11;1,74;;;;t0206
dolnoœl¹skie;kamiennogórski;4;0,93;;;;t0207
dolnoœl¹skie;k³odzki;18;1,15;1;;1;t0208
dolnoœl¹skie;legnicki;8;1,45;1;1;;t0209
dolnoœl¹skie;lubañski;21;3,88;;;;t0210
dolnoœl¹skie;lubiñski;54;5,09;3;;3;t0211
dolnoœl¹skie;lwówecki;16;3,50;1;1;;t0212
dolnoœl¹skie;milicki;13;3,52;;;;t0213
dolnoœl¹skie;oleœnicki;29;2,70;;;;t0214
dolnoœl¹skie;o³awski;10;1,30;2;1;1;t0215
dolnoœl¹skie;polkowicki;18;2,85;1;;1;t0216
dolnoœl¹skie;strzeliñski;12;2,76;3;2;1;t0217
dolnoœl¹skie;œredzki;14;2,53;;;;t0218
dolnoœl¹skie;œwidnicki;29;1,85;1;;1;t0219
dolnoœl¹skie;trzebnicki;9;1,05;1;;1;t0220
dolnoœl¹skie;wa³brzyski;21;3,79;2;;2;t0221
dolnoœl¹skie;wo³owski;9;1,93;;;;t0222
dolnoœl¹skie;wroc³awski;36;2,34;1;;1;t0223
dolnoœl¹skie;z¹bkowicki;10;1,55;;;;t0224
dolnoœl¹skie;zgorzelecki;41;4,62;2;2;;t0225
dolnoœl¹skie;z³otoryjski;7;1,62;1;1;;t0226
dolnoœl¹skie;Jelenia Góra;6;0,76;;;;t0261
dolnoœl¹skie;Legnica;19;1,92;3;3;;t0262
dolnoœl¹skie;Wroc³aw;145;2,25;5;;5;t0264
dolnoœl¹skie;Wa³brzych;22;1,99;;;;t0265
kujawsko-pomorskie;aleksandrowski;24;4,36;1;;1;t0401
kujawsko-pomorskie;brodnicki;31;3,92;;;;t0402
kujawsko-pomorskie;bydgoski;58;4,86;1;;1;t0403
kujawsko-pomorskie;che³miñski;34;6,56;1;;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;14;3,11;1;;1;t0405
kujawsko-pomorskie;grudzi¹dzki;36;8,95;1;1;;t0406
kujawsko-pomorskie;inowroc³awski;119;7,47;;;;t0407
kujawsko-pomorskie;lipnowski;15;2,29;;;;t0408
kujawsko-pomorskie;mogileñski;19;4,17;;;;t0409
kujawsko-pomorskie;nakielski;100;11,60;3;;3;t0410
kujawsko-pomorskie;radziejowski;29;7,21;2;;2;t0411
